INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
CASA E APPARTAMENTO PER VACANZE 19;Categoria 1;VIA STATONIA, 19;Mun. VII;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
CASA E APPARTAMENTO PER VACANZE ARGENTINA EXCLUSIVE APARTMENT;Categoria 2;VIA DI S. ELENA, 138;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
CASA E APPARTAMENTO PER VACANZE GIOIA;Categoria 2;VIA DELLE CAVE DI PIETRALATA, 64;Mun. IV;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
MAMI'S HOME TRASTEVERE;Categoria 2;PIAZZA DI S. APOLLONIA, 3;Mun. I;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
CASA E APPARTAMENTO PER VACANZE ROMA BAROCCA SUITE;Categoria 1;VIA FRANCESCO CRISPI, 20;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
NIDO ALL'AVENTINO;Categoria 2;VIA MERULANA, 259;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
CASA E APPARTAMENTO PER VACANZE VALENTINO APARTMENT;Categoria 2;PIAZZA DI SPAGNA, 35;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
THE PICCOLO APARTMENT CASA E APPARTAMENTO PER VACANZE;Categoria 1;VICOLO DELLE PALLE, 29;Mun. I;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
BORGHETTO QUADRARO;Categoria 2;VIA DEGLI ARVALI, 15;Mun. V;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
DOMUS AQUAE;Categoria 2;VICOLO SCAVOLINO, 61;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
ACCOMODATION IN ROME VIA POERIO;Categoria 2;VIA ALESSANDRO POERIO, 112;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE AL CIVICO 7;Categoria 1;VIA DEL FORNO, 7;Mun. X;Casa Vacanze NON impr (Appartamento);;;;1;;;1;4;0;0
