SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
Via della Consolazione, 4;Municipio I;Corpo VV.UU.;Comando Polizia Municipale
Piazza Campitelli, 7;Municipio I;Dip. IV - Cultura;Assessorato - Direzione
Via Merulana, 123;Municipio I;Dip. V - Politiche Sociali;Assessorato - Direzione
Piazza San Pantaleo, 10 ;Municipio I;Sovrintendenza;Palazzo Braschi
Piazzale di Porta Metronia, 2;Municipio I;Dip. X - Ambiente;Assessorato
Via Petroselli, 50;Municipio I;Dip. XIII - Reti Informative;Anagrafe ( Sede I Mun.)
Via Petroselli, 45;Municipio I;Dip. XII - Lavori Pubblici;Dipartimento XII
Via dei Cerchi 6;Municipio I;Dip. VIII - Commercio;Dipartimento VIII - piano primo ex Uff. Elettorale
Via della Greca, 5;Municipio I;Consiglio Comunale;Consiglio Comunale - Statistica
Piazza Orazio Giustiniani, 4;Municipio I;Sovrintendenza;Macro Testaccio - La Pelanda
Piazza di Spagna/Vicolo del Bottino;Municipio I;Sovrintendenza;Sovrintendenza
Circonvallazione trionfale, 19;Municipio I;Municipio I;Presidenza - Direzione ex Scuola Abba
Via Reggio Emilia, 54;Municipio I;Sovrintendenza;MACRO
Via dell'Uccelliera ;Municipio I;Sovrintendenza;Museo palaz.della Meridiana
Via IV Novembre, 4;Municipio I;Sovrintendenza;Mercati di Traiano
Piazza Lovatelli, 35;Municipio I;Sovrintendenza;Museo S. Ambrogio
Via del Teatro Marcello, 5;Municipio I;Sovrintendenza;Casina dei Pierleoni
Lungotevere Augusta ;Municipio I;Sovrintendenza;Ara Pacis
Piazza di Ponte Umberto I, 1;Municipio I;Sovrintendenza;Museo Napoleonico Pal. Primoli 
Piazza S. Egidio 1/B;Municipio I;Sovrintendenza;Museo di Roma in Trastevere
Via Dire Daua, 11;Municipio II;Municipio II;Presidenza - Direzione
Piazza Grecia, 23/25 ;Municipio II;Municipio II;Uff. Amm. municipio II
Via Goito, 35 ;Municipio II;Municipio II;Municipio II URP
Piazza Sempione 15;Municipio III;Municipio III;Municipio III Presidenza e direzione
Via Flavio Ando', 12  ;Municipio III;Municipio III;Municipio Servixi al Cittadino e Uffici
Via Nomentana, 70;Municipio II;Sovrintendenza;Museo Casina delle Civette
Viale Civilta' del Lavoro, 10;Municipio IX;Dip. IX - Urbanistica;Assessorato - Direzione
Via di Decima, 96/102;Municipio IX;Dip. VI - Pianificazione Territorio;USCE (condono edilizio)
(Via della Previdenza Sociale)       ;Municipio IX;Dip. XIII - Reti Informative;(Via della Previdenza Sociale + Ufficio Elettorale)
Via T. Fortifiocca, 71;Municipio VII;Municipio VII;Presidenza - Direzione
Villa lais -  Centro Famiglie;Municipio V;Municipio V;Municipio V - Centro Famiglie
Via Ignazio Silone, Iø ponte ;Municipio IX;Municipio IX;municipio exXII Direzione
Via Ignazio Silone,100;Municipio IX;Municipio IX;municipio exXII
Viale dei Caduti nella Guerra di Liberazione;Municipio IX;Municipio IX;Munic. exXII - ex centro comm.le
Via Cristoforo Colombo, 1897;Municipio IX;PARCHI DELLA COLOMBO;
Piazza Giovanni Agnelli 10;Municipio IX;Sovrintendenza;Museo della Civilta' Romana
Via Tiburtina, 1163 ;Municipio IV;Municipio IV;ex Presidenza V - Direzione
