#A	Titolo uniforme	V1	BIBLIOTECA GALLINE BIANCHE	1	1
#C	Collana	R1	BIBLIOTECA COLLI PORTUENSI	1	1
#D	Altro titolo	A3	BIBLIOTECA ENZO TORTORA	1	1
AC	CD-ROM	A1	BIBLIOTECA EUROPEA	7	7
AC	CD-ROM	A2	PIM CENTRALE	2	2
AC	CD-ROM	A3	BIBLIOTECA ENZO TORTORA	30	41
AC	CD-ROM	B1	BIBLIOTECA VILLA LEOPARDI	11	14
AC	CD-ROM	B3	BIBLIOTECA FLAMINIA	16	16
AC	CD-ROM	BR	BIBLIOTECA CENTRALE PER RAGAZZI	98	122
AC	CD-ROM	C1	BIBLIOTECA TULLIO DE MAURO	18	18
AC	CD-ROM	D1	BIBLIOTECA ENNIO FLAIANO	24	47
AC	CD-ROM	E1	BIBLIOTECA VACCHERIA NARDI	4	4
AC	CD-ROM	F1	BIBLIOTECA GOFFREDO MAMELI	12	31
AC	CD-ROM	F2	BIBLIOTECA PENAZZATO	44	45
AC	CD-ROM	G1	BIBLIOTECA GIANNI RODARI	80	98
AC	CD-ROM	H1	BIBLIOTECA RUGANTINO	7	14
AC	CD-ROM	I1	BIBLIOTECA NELSON MANDELA	11	15
AC	CD-ROM	L1	BIBLIOTECA RAFFAELLO	461	580
AC	CD-ROM	M1	BIBLIOCAFFE' LETTERARIO	4	7
AC	CD-ROM	N1	BIBLIOTECA PIER PAOLO PASOLINI	9	11
AC	CD-ROM	O2	BIBLIOTECA ELSA MORANTE	310	326
AC	CD-ROM	Q1	BIBLIOTECA GUGLIELMO MARCONI	328	419
AC	CD-ROM	Q2	BIBLIOTECA RENATO NICOLINI	20	38
AC	CD-ROM	R1	BIBLIOTECA COLLI PORTUENSI	14	17
AC	CD-ROM	R2	BIBLIOTECA LONGHENA	2	2
AC	CD-ROM	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	6	6
AC	CD-ROM	S1	BIBLIOTECA GIORDANO BRUNO	11	11
