BBR	BIBLIOTECARIO SOL	50	00138	GRATISCARD	RMB-I1	2018/01/18	2019/01/18	5
UU	NON DETERMINATO	35	00167	PASSCARD	RMB-T2	2018/01/02	2019/01/02	0
AC	ALTRE CATEGORIE NON PROFESSION	10	00185	PASSCARD	RMB-A1	2018/01/29	2019/01/29	5
AC	ALTRE CATEGORIE NON PROFESSION	12	00121	PASSCARD	RMB-O2	2018/01/03	2019/01/03	0
AC	ALTRE CATEGORIE NON PROFESSION	12	00188	PASSCARD	RMB-V1	2018/01/23	2019/01/23	0
AC	ALTRE CATEGORIE NON PROFESSION	26	00121	BIBLIOCARD	RMB-O2	2018/01/23	2019/01/23	0
AC	ALTRE CATEGORIE NON PROFESSION	28	00168	BIBLIOCARD	RMB-U1	2018/01/18	2019/01/18	4
AC	ALTRE CATEGORIE NON PROFESSION	28	00172	BIBLIOCARD	RMB-G1	2018/01/31	2019/01/31	0
AC	ALTRE CATEGORIE NON PROFESSION	31	00159	BIBLIOCARD	RMB-L1	2018/01/24	2019/01/24	5
AC	ALTRE CATEGORIE NON PROFESSION	33	00151	PASSCARD	RMB-R1	2018/01/10	2019/01/10	26
AC	ALTRE CATEGORIE NON PROFESSION	33	00155	BIBLIOCARD	RMB-E1	2018/01/08	2019/01/08	6
AC	ALTRE CATEGORIE NON PROFESSION	34	00152	BIBLIOCARD	RMB-Q1	2018/01/09	2019/01/09	0
AC	ALTRE CATEGORIE NON PROFESSION	35	00162	BIBLIOCARD	RMB-C1	2018/01/25	2019/01/25	0
AC	ALTRE CATEGORIE NON PROFESSION	35	00169	BIBLIOCARD	RMB-B1	2018/01/11	2019/01/11	0
AC	ALTRE CATEGORIE NON PROFESSION	37	00173	BIBLIOCARD	RMB-L1	2018/01/19	2019/01/19	2
AC	ALTRE CATEGORIE NON PROFESSION	39	00100	BIBLIOCARD	RMB-I1	2018/01/13	2019/01/13	5
AC	ALTRE CATEGORIE NON PROFESSION	39	00168	PASSCARD	RMB-B1	2018/01/22	2019/01/22	2
AC	ALTRE CATEGORIE NON PROFESSION	39	00186	PASSCARD	RMB-BR	2018/01/26	2019/01/26	3
AC	ALTRE CATEGORIE NON PROFESSION	40	00133	PASSCARD	RMB-H2	2018/01/18	2019/01/18	4
AC	ALTRE CATEGORIE NON PROFESSION	40	00164	PASSCARD	RMB-Q2	2018/01/10	2019/01/10	2
AC	ALTRE CATEGORIE NON PROFESSION	41	00167	BIBLIOCARD	RMB-U2	2018/01/23	2019/01/23	0
AC	ALTRE CATEGORIE NON PROFESSION	41	00168	BIBLIOCARD	RMB-U1	2018/01/12	2019/01/12	4
AC	ALTRE CATEGORIE NON PROFESSION	41	00171	PASSCARD	RMB-F1	2018/01/11	2019/01/11	3
AC	ALTRE CATEGORIE NON PROFESSION	41	00199	GOLDCARD	RMB-B1	2018/01/18	2019/01/18	8
AC	ALTRE CATEGORIE NON PROFESSION	42	00176	BIBLIOCARD	RMB-F1	2018/01/02	2019/01/02	6
AC	ALTRE CATEGORIE NON PROFESSION	44	00155	PASSCARD	RMB-G2	2018/01/04	2019/01/04	0
AC	ALTRE CATEGORIE NON PROFESSION	44	00162	PASSCARD	RMB-Q2	2018/01/22	2019/01/22	0
AC	ALTRE CATEGORIE NON PROFESSION	45	00124	BIBLIOCARD	RMB-O2	2018/01/15	2019/01/15	0
AC	ALTRE CATEGORIE NON PROFESSION	45	00163	BIBLIOCARD	RMB-BR	2018/01/26	2019/01/26	10
AC	ALTRE CATEGORIE NON PROFESSION	45	00176	BIBLIOCARD	RMB-F1	2018/01/03	2019/01/03	0
AC	ALTRE CATEGORIE NON PROFESSION	46	00146	PASSCARD	RMB-Q1	2018/01/08	2019/01/08	1
AC	ALTRE CATEGORIE NON PROFESSION	46	00166	PASSCARD	RMB-T2	2018/01/18	2019/01/18	1
AC	ALTRE CATEGORIE NON PROFESSION	46	00185	BIBLIOCARD	RMB-I1	2018/01/15	2019/01/15	7
AC	ALTRE CATEGORIE NON PROFESSION	47	00175	PASSCARD	RMB-G2	2018/01/20	2019/01/20	0
AC	ALTRE CATEGORIE NON PROFESSION	48	00178	BIBLIOCARD	RMB-I1	2018/01/12	2019/01/12	4
AC	ALTRE CATEGORIE NON PROFESSION	49	00124	BIBLIOCARD	RMB-O1	2018/01/13	2019/01/13	2
AC	ALTRE CATEGORIE NON PROFESSION	49	00132	PASSCARD	RMB-H2	2018/01/18	2019/01/18	0
AC	ALTRE CATEGORIE NON PROFESSION	49	00146	PASSCARD	RMB-Q1	2018/01/23	2019/01/23	2
AC	ALTRE CATEGORIE NON PROFESSION	50	00146	BIBLIOCARD	RMB-Q1	2018/01/02	2019/01/02	0
AC	ALTRE CATEGORIE NON PROFESSION	50	00177	BIBLIOCARD	RMB-O2	2018/01/10	2019/01/10	2
AC	ALTRE CATEGORIE NON PROFESSION	51	00162	BIBLIOCARD	RMB-A1	2018/01/19	2019/01/19	0
