UU	NON DETERMINATO	3	00155	GRAYOUCARD	RMB-BR	2018/01/01	2019/01/01	0
AC	ALTRE CATEGORIE NON PROFESSION	1	00136	GRAYOUCARD	RMB-G2	2018/01/01	2019/01/01	0
AC	ALTRE CATEGORIE NON PROFESSION	4	00155	GRAYOUCARD	RMB-G2	2018/01/01	2019/01/01	0
AC	ALTRE CATEGORIE NON PROFESSION	6	00159	PASSCARD	RMB-E1	2018/01/12	2019/01/12	2
AC	ALTRE CATEGORIE NON PROFESSION	6	00159	PASSCARD	RMB-B1	2018/01/24	2019/01/24	1
AC	ALTRE CATEGORIE NON PROFESSION	7	00139	PASSCARD	RMB-D1	2018/01/03	2019/01/03	2
AC	ALTRE CATEGORIE NON PROFESSION	12	00199	PASSCARD	RMB-B1	2018/01/28	2019/01/28	4
AC	ALTRE CATEGORIE NON PROFESSION	22	00179	PASSCARD	RMB-Q1	2018/01/10	2019/01/10	1
AC	ALTRE CATEGORIE NON PROFESSION	26	20099	PASSCARD	RMB-D1	2018/01/26	2019/01/26	0
AC	ALTRE CATEGORIE NON PROFESSION	28	00135	PASSCARD	RMB-B3	2018/01/18	2019/01/18	0
AC	ALTRE CATEGORIE NON PROFESSION	28	00136	PASSCARD	RMB-S1	2018/01/25	2019/01/25	0
AC	ALTRE CATEGORIE NON PROFESSION	29	00148	PASSCARD	RMB-Q2	2018/01/09	2019/01/09	0
AC	ALTRE CATEGORIE NON PROFESSION	31	00175	PASSCARD	RMB-L1	2018/01/25	2019/01/25	1
AC	ALTRE CATEGORIE NON PROFESSION	32	20146	PASSCARD	RMB-B1	2018/01/25	2019/01/25	0
AC	ALTRE CATEGORIE NON PROFESSION	37	00019	BIBLIOCARD	RMB-T2	2018/01/27	2019/01/27	1
AC	ALTRE CATEGORIE NON PROFESSION	38	00192	PASSCARD	RMB-A6	2018/01/13	2019/01/13	0
AC	ALTRE CATEGORIE NON PROFESSION	39	00176	PASSCARD	RMB-F1	2018/01/24	2019/01/24	2
AC	ALTRE CATEGORIE NON PROFESSION	42	00123	BIBLIOCARD	RMB-V1	2018/01/26	2019/01/26	1
AC	ALTRE CATEGORIE NON PROFESSION	43	00060	PASSCARD	RMB-V1	2018/01/19	2019/01/19	2
AC	ALTRE CATEGORIE NON PROFESSION	45	00176	PASSCARD	RMB-F1	2018/01/30	2019/01/30	3
AC	ALTRE CATEGORIE NON PROFESSION	49	00137	PASSCARD	RMB-WA	2018/01/04	2019/01/04	1
AC	ALTRE CATEGORIE NON PROFESSION	49	00198	BIBLIOCARD	RMB-B1	2018/01/31	2019/01/31	1
AC	ALTRE CATEGORIE NON PROFESSION	52	00166	PASSCARD	RMB-T1	2018/01/05	2019/01/05	1
AC	ALTRE CATEGORIE NON PROFESSION	59	00155	PASSCARD	RMB-G1	2018/01/21	2019/01/21	0
AL	ALTRI LAVORATORI DIPENDENTI	6	00122	PASSCARD	RMB-O2	2018/01/16	2019/01/16	1
AL	ALTRI LAVORATORI DIPENDENTI	14	00131	PASSCARD	RMB-E1	2018/01/18	2019/01/18	1
AL	ALTRI LAVORATORI DIPENDENTI	15	00137	PASSCARD	RMB-D1	2018/01/31	2019/01/31	1
AL	ALTRI LAVORATORI DIPENDENTI	21	00171	PASSCARD	RMB-M1	2018/01/30	2019/01/30	2
AL	ALTRI LAVORATORI DIPENDENTI	23	04010	PASSCARD	RMB-L1	2018/01/15	2019/01/15	0
AL	ALTRI LAVORATORI DIPENDENTI	25	00156	PASSCARD	RMB-D1	2018/01/14	2019/01/14	0
AL	ALTRI LAVORATORI DIPENDENTI	25	03024	PASSCARD	RMB-A1	2018/01/09	2019/01/09	0
AL	ALTRI LAVORATORI DIPENDENTI	27	16132	PASSCARD	RMB-A1	2018/01/09	2019/01/09	0
AL	ALTRI LAVORATORI DIPENDENTI	27	92027	PASSCARD	RMB-A1	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	28	00177	PASSCARD	RMB-F2	2018/01/12	2019/01/12	1
AL	ALTRI LAVORATORI DIPENDENTI	28	00179	PASSCARD	RMB-I1	2018/01/22	2019/01/22	0
AL	ALTRI LAVORATORI DIPENDENTI	28	37032	PASSCARD	RMB-Q1	2018/01/24	2019/01/24	0
AL	ALTRI LAVORATORI DIPENDENTI	29	00132	PASSCARD	RMB-I1	2018/01/25	2019/01/25	2
AL	ALTRI LAVORATORI DIPENDENTI	29	00173	PASSCARD	RMB-G1	2018/01/03	2019/01/03	1
AL	ALTRI LAVORATORI DIPENDENTI	29	00176	PASSCARD	RMB-D1	2018/01/17	2019/01/17	0
AL	ALTRI LAVORATORI DIPENDENTI	29	00176	PASSCARD	RMB-F1	2018/01/19	2019/01/19	0
AL	ALTRI LAVORATORI DIPENDENTI	29	00176	BIBLIOCARD	RMB-F1	2018/01/24	2019/01/24	0
AL	ALTRI LAVORATORI DIPENDENTI	29	40013	BIBLIOCARD	RMB-Q1	2018/01/05	2019/01/05	0
AL	ALTRI LAVORATORI DIPENDENTI	29	81033	PASSCARD	RMB-R1	2018/01/25	2019/01/25	4
AL	ALTRI LAVORATORI DIPENDENTI	30	00126	PASSCARD	RMB-O1	2018/01/10	2019/01/10	5
AL	ALTRI LAVORATORI DIPENDENTI	31	00144	PASSCARD	RMB-Q1	2018/01/24	2019/01/24	0
AL	ALTRI LAVORATORI DIPENDENTI	31	00176	PASSCARD	RMB-F1	2018/01/27	2019/01/27	0
AL	ALTRI LAVORATORI DIPENDENTI	31	00183	PASSCARD	RMB-I1	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	31	82010	PASSCARD	RMB-T1	2018/01/22	2019/01/22	0
AL	ALTRI LAVORATORI DIPENDENTI	33	00176	PASSCARD	RMB-F1	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	33	00179	BIBLIOCARD	RMB-I1	2018/01/29	2019/01/29	0
AL	ALTRI LAVORATORI DIPENDENTI	34	00060	PASSCARD	RMB-M1	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	34	00077	PASSCARD	RMB-H3	2018/01/04	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	34	00172	BIBLIOCARD	RMB-F2	2018/01/24	2019/01/24	4
AL	ALTRI LAVORATORI DIPENDENTI	34	00176	PASSCARD	RMB-F1	2018/01/16	2019/01/16	2
AL	ALTRI LAVORATORI DIPENDENTI	34	00178	PASSCARD	RMB-L1	2018/01/12	2019/01/12	0
AL	ALTRI LAVORATORI DIPENDENTI	35	00100	PASSCARD	RMB-Q2	2018/01/12	2019/01/12	24
AL	ALTRI LAVORATORI DIPENDENTI	35	00125	BIBLIOCARD	RMB-O1	2018/01/05	2019/01/05	0
AL	ALTRI LAVORATORI DIPENDENTI	36	00147	PASSCARD	RMB-Q1	2018/01/20	2019/01/20	0
AL	ALTRI LAVORATORI DIPENDENTI	36	00181	PASSCARD	RMB-D1	2018/01/31	2019/01/31	0
AL	ALTRI LAVORATORI DIPENDENTI	36	80141	GRATISCARD	RMB-A1	2018/01/17	2019/01/17	82
AL	ALTRI LAVORATORI DIPENDENTI	36	92019	PASSCARD	RMB-S1	2018/01/20	2019/01/20	0
AL	ALTRI LAVORATORI DIPENDENTI	37	00139	PASSCARD	RMB-D1	2018/01/03	2019/01/03	3
AL	ALTRI LAVORATORI DIPENDENTI	37	00176	BIBLIOCARD	RMB-F1	2018/01/03	2019/01/03	22
AL	ALTRI LAVORATORI DIPENDENTI	37	03035	PASSCARD	RMB-A6	2018/01/23	2019/01/23	0
AL	ALTRI LAVORATORI DIPENDENTI	37	24124	PASSCARD	RMB-B3	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	38	00156	BIBLIOCARD	RMB-E2	2018/01/31	2019/01/31	6
AL	ALTRI LAVORATORI DIPENDENTI	38	00166	PASSCARD	RMB-U1	2018/01/08	2019/01/08	1
AL	ALTRI LAVORATORI DIPENDENTI	38	00166	PASSCARD	RMB-U1	2018/01/30	2019/01/30	4
AL	ALTRI LAVORATORI DIPENDENTI	38	00167	PASSCARD	RMB-R3	2018/01/20	2019/01/20	7
AL	ALTRI LAVORATORI DIPENDENTI	41		BIBLIOCARD	RMB-E2	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00119	PASSCARD	RMB-O2	2018/01/13	2019/01/13	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00166	PASSCARD	RMB-T2	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	42	00153	PASSCARD	RMB-M1	2018/01/20	2019/01/20	2
AL	ALTRI LAVORATORI DIPENDENTI	42	00155	PASSCARD	RMB-G1	2018/01/24	2019/01/24	0
AL	ALTRI LAVORATORI DIPENDENTI	42	00198	PASSCARD	RMB-A1	2018/01/13	2019/01/13	0
AL	ALTRI LAVORATORI DIPENDENTI	43	00163	PASSCARD	RMB-R2	2018/01/04	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	44	00124	PASSCARD	RMB-O1	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	44	06125	PASSCARD	RMB-F1	2018/01/09	2019/01/09	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00155	PASSCARD	RMB-E1	2018/01/04	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	46		PASSCARD	RMB-U2	2018/01/10	2019/01/10	0
AL	ALTRI LAVORATORI DIPENDENTI	49	00126	PASSCARD	RMB-O1	2018/01/17	2019/01/17	3
