NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
3444;20071218;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
3445;20080520;12834;VIA DELLA BALDUINA;11;B;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3446;19800131;71042;VIA MATTIA BATTISTINI;65;B;10562.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3447;20080429;39556;VIA FEDERICO BORROMEO;23; ;65.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3448;20080506;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
3449;20020305;12834;VIA DELLA BALDUINA;195; ;39.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3450;20020305;12834;VIA DELLA BALDUINA;195; ;39.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3452;20080519;100614;VIA SIMONE MOSCA;24; ;28.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
3453;19930525;71042;VIA MATTIA BATTISTINI;528; ;190.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3454;20080612;11826;VIA AUGUSTO TEBALDI;48; ;47.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3455;19970530;11826;VIA AUGUSTO TEBALDI;48; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3456;20080331;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
3458;20080410;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
3460;20080327;158796;VIA GAVERINA;60; ;116.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3461;20080612;71235;VIALE DELLE MEDAGLIE D'ORO;221; ;32.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3464;20070702;51527;VIA GIOVANNI BATTISTA PARAVIA;25; ;234.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3465;20080506;102915;VIA STRESA;7; ;50.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3466;20080627;70456;VIA MARZIALE;49; ;20.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);16;NOLEGGIO SENZA CONDUCENTE;0;; ; 
3467;20080624;117414;VIA BRUMANO;14;A;26.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3468;20000126;107767;VIA TRIONFALE;7054; ;206.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3469;20080626;39556;VIA FEDERICO BORROMEO;81; ;0.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);66;VIDEOGIOCHI;0;;;
3590;20080807;14883;VIA BERNARDO BARBIELLINI AMIDEI;107; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3591;19840516;40572;VIA FESTO AVIENO;3; ;50.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3592;19840516;40572;VIA FESTO AVIENO;3; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
