Centri di Orientamento al Lavoro (Job Guidance Centres / Centres d'Orientation au travail / Centros d'Orientacion al trabajo) sono sedici sportelli operativi sul territorio di Roma Capitale che svolgono, nell'ambito della rete integrata dei Servizi per l'Impiego, azioni di orientamento al lavoro indirizzate ai singoli cittadini;;;;;
;;;;;
C.O.L.;Indirizzo;Telefono;Fax;E - mail ;Operativit…
Simonetta Tosi;"Municipio I
 - Via A. Volta, 43 - 00153 Roma";06/57133889;06/5745486;colsimonettatosi@comune.roma.it ;OPERATIVO
San Lorenzo;"Municipio 2 (ex Municipio 3)
 - Via degli Apuli, 5 - 00185 Roma";06/44704735;06/49385092;colsanlorenzo@comune.roma.it;OPERATIVO
Vigne Nuove;Via Sergio Tofano, 90  00139 Roma;06/87187456;06/87195421;colvignenuove@comune.roma.it ;OPERATIVO
Tiburtino III;"Municipio 4 (ex Municipio 5)
Via W. A. Mozart, 77 - 00159 Roma"; 06 40814925; 06 40801335;coltiburtino@comune.roma.it ;TEMPORANEAMENTE CHIUSO
Teresa Gullace;"Municipio 5 (ex Municipio 7)
Via delle Fragole, 30   - 00172 Roma";06/2303288;06/23296427;colteresagullace@comune.roma.it ;OPERATIVO
Gino Giugni;"Municipio 6 (ex Municipio 8)
Via della Tenuta di Torrenova, 124 - 00133 Roma";06/20630980;06/20685655;colginogiugni@comune.roma.it;OPERATIVO
Luigi Petroselli;"Municipio 7 (ex Municipio 9)
Via Tuscolana 208/A - 00181 Roma";06/96038753;06/96038683;colluigipetroselli@comune.roma.it;OPERATIVO
Vignali;"Municipio 7 (ex Municipio 10)
Viale Rolando Vignali, 14 - 00173 Roma";06/72902207;06/72973505;colvignali@comune.roma.it;OPERATIVO
Cenci;"Municipio 8 (ex Municipio 11)
Via Dei Lincei, 93 - 00147 Roma

";06/45606921;06/45606925;colcenci@comune.roma.it;OPERATIVO
G. Marconi;"Municipio 8 (ex Municipio 11)
 Largo Veratti, 30 - 00146 Roma";06/54602499;06/54275900;colmarconi@comune.roma.it;OPERATIVO
Ernesto Nathan;Municipio IX (ex XII), zona Decima Torrino                                                                                                  - Via Vincenzo Ugo Taby 30 - 00144 Roma -;06/52274827;06/52274827;colernestonathan@comune.roma.it;OPERATIVO
Pierpaolo Pasolini;"Municipio X (ex XIII), Ostia.
Via Domenico Baffigo 143 - 00121 Ostia";06/5694237;06/5694237;colpierpaolopasolini@comune.roma.it ;TEMPORANEAMENTE CHIUSO
Corviale;"Municipio 11 (ex Municipio 15)
Via M. Mazzacurati 76";06/65090006;06/65193505;colcorviale@comune.roma.it;OPERATIVO
Azzolino;"Municipio 13 (ex Municipio 18)
Via Decio Azzolino, 7 - 00167 Roma";06/61662513;06/61291938;colazzolino@comune.roma.it;OPERATIVO
C.O.L. TEMATICI;;;;;
"  Tirocini
 (dedicato all?attivazione di percorsi di tirocinio presso pubbliche amministrazioni ed aziende)";Via dei Cerchi 6 - 00186 Roma; 06 67102195; 06 67102209;coltirocini@comune.roma.it;OPERATIVO
"  Carceri
 (dedicato all'inserimento e nel reinserimento occupazionale dei detenuti e degli ex detenuti )";Via Dei Lincei, 93 - 00147 Roma; 06 45606925; 06 45606925;colcarceri@comune.roma.it;OPERATIVO
