Municipio;Codice scuola;Tipo scuola;Natura giuridica;Nome scuola;Indirizzo;Telefono;Orario entrat/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
I;3557;INFANZIA;COMUNALE;A. BACCARINI;Via Sforza, 2;06/4883788;08:00 / 17:00;3;75;62;31;31;0;0;0;31;31;32;30
I;3549;INFANZIA;COMUNALE;A. CADLOLO ;Via Della Rondinella, 2;06/68802521;08:00 / 17:00;4;100;94;47;47;0;0;0;52;42;93;1
I;3553;INFANZIA;COMUNALE;E.GIANTURCO;Via Della Palombella, 4;06/68307753;08:00 / 17:00;3;63;59;23;36;0;0;0;32;27;51;8
I;3556;INFANZIA;COMUNALE;E.PESTALOZZI;Via Mentana, 1;06/4941465;08:00 / 17:00;2;50;43;22;21;0;0;0;20;23;30;13
I;3554;INFANZIA;COMUNALE;E.RUSPOLI;Via Di Gesu' E Maria, 28;06/3614185;08:00 / 17:00;2;50;43;25;18;0;0;0;19;24;34;9
I;3558;INFANZIA;COMUNALE;F. DI DONATO ;Via Conte Verde, 47;06/77071922;07:00 / 17:00;3;75;73;40;33;0;0;0;40;33;59;14
I;3551;INFANZIA;COMUNALE;G. MAMELI ;Via Dei Genovesi, 30;06/5816462;07:30 / 17:00;3;75;59;30;29;0;0;0;32;27;53;6
I;3550;INFANZIA;COMUNALE;G.G. BADINI;Piazza Di S. Alessio, 34;06/5742051;08:00 / 17:00;4;90;88;48;40;0;0;0;46;42;85;3
I;3548;INFANZIA;COMUNALE;G.GRILLI;Piazzale Anita Garibaldi, 2;06/6892932;08:00 / 17:00;1;25;25;11;14;0;0;0;12;13;25;0
I;6422;INFANZIA;COMUNALE;GIARDINIERI;Via Di Porta S. Sebastiano, 2;06/70492990;08:00 / 16:30;3;60;59;35;24;0;0;0;36;23;59;0
I;3552;INFANZIA;COMUNALE;LA SCALA;Piazza Della Scala, 22;06/5809205;08:00 / 17:00;3;75;74;36;38;0;0;0;37;37;70;4
I;2648;INFANZIA;COMUNALE;LEOPOLDO FRANCHETTI ;Piazza Gian Lorenzo Bernini, 26;06/5743041;07:30 / 17:00;4;96;94;46;48;0;0;0;55;39;85;9
I;3555;INFANZIA;COMUNALE;L.SETTEMBRINI;Via Del Lavatore, 38;06/6787508;08:00 / 17:00;2;50;46;20;26;0;0;0;24;22;34;12
I;2642;INFANZIA;COMUNALE;PAOLA BIOCCA ;Via Galvani, 4B;06/5750864;08:00 / 17:00;6;137;128;60;68;0;0;0;63;65;109;19
I;3559;INFANZIA;COMUNALE;RUGGERO BONGHI;Via Ruggero Bonghi, 30;06/70453718;08:00 / 17:00;5;125;114;64;50;0;0;0;68;46;78;36
I;3546;INFANZIA;COMUNALE;TRENTO E TRIESTE;Via Dei Giubbonari, 41;06/68308049;08:00 / 17:00;2;50;42;21;21;0;0;0;23;19;35;7
I;2645;INFANZIA;COMUNALE;UN TEMPO LINEARE PER IL BAMBINO E LA FAMIGLIA DA 3 A 6 ANNI;Via Marmorata, 169;06/57139488;08:00 / 13:20;2;28;24;13;11;0;0;0;13;11;23;1
II;2783;INFANZIA;COMUNALE;COLORI DEL MONDO;Via Adigrat, 2;06/86325932;08:00 / 17:00;3;75;73;51;22;0;0;0;39;34;54;19
II;3541;INFANZIA;COMUNALE;CONTARDO FERRINI;Via Di Villa Chigi, 22;06/86212459;08:00 / 17:00;9;193;193;104;89;0;0;0;117;76;178;15
II;3564;INFANZIA;COMUNALE;GIARDINO INCANTATO;Via Pinciana, 10;06/8554697;08:00 / 17:00;4;83;82;52;30;0;0;0;53;29;80;2
II;2752;INFANZIA;COMUNALE;GIUSEPPE MAZZINI;Via Volsinio, 25;06/86386973;08:00 / 17:00;10;250;250;120;130;0;0;0;144;106;237;13
II;2777;INFANZIA;COMUNALE;GRAZIOLI LANTE DELLA ROVERE;Via Tevere, 22;06/85350344;08:00 / 17:00;2;50;50;27;23;0;0;0;31;19;48;2
II;2748;INFANZIA;COMUNALE;GUGLIELMINA RONCONI;Via Pietro Antonio Micheli, 21;06/3221254;08:00 / 17:00;7;175;133;63;70;0;0;0;71;62;106;27
II;3539;INFANZIA;COMUNALE;GUIDO ALESSI;Via Flaminia, 225;06/3226539;08:00 / 17:00;6;145;143;82;61;0;0;0;87;56;131;12
II;2782;INFANZIA;COMUNALE;I SEI COLORI DI UGO;Via Tigre', 96;06/86208391;08:00 / 17:00;6;128;127;74;53;0;0;0;78;49;109;18
II;3537;INFANZIA;COMUNALE;IL GIRAMONDO;Via Venezuela, 33;06/8086136;08:00 / 17:00;4;80;78;45;33;0;0;0;44;34;70;8
II;2753;INFANZIA;COMUNALE;L'ALBERO AZZURRO;Via Novara, 22;06/8557507;08:00 / 17:00;4;100;100;57;43;0;0;0;63;37;91;9
