Popolazione iscritta in anagrafe al 31 dicembre 2015 per municipio, sesso e singolo anno di età;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;
;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;Non localizzati;;;Totale;;;;;
Età;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;;;
0;593;560;1.153;555;539;1.094;780;775;1.555;665;619;1.284;1.003;978;1.981;1.364;1.252;2.616;1.119;1.087;2.206;394;464;858;674;658;1.332;969;876;1.845;623;631;1.254;521;502;1.023;494;444;938;785;724;1.509;572;589;1.161;1;1;2;11.112;10.699;21.811;;;
1;697;603;1.300;647;641;1.288;927;858;1.785;750;720;1.470;1.056;1.036;2.092;1.563;1.378;2.941;1.327;1.178;2.505;523;479;1.002;770;743;1.513;1.021;1.013;2.034;694;632;1.326;582;504;1.086;591;548;1.139;915;792;1.707;656;656;1.312;2;1;3;12.721;11.782;24.503;;;
2;640;618;1.258;659;636;1.295;936;834;1.770;754;680;1.434;1.092;1.061;2.153;1.550;1.407;2.957;1.306;1.255;2.561;510;495;1.005;871;789;1.660;1.101;1.089;2.190;684;672;1.356;580;540;1.120;550;497;1.047;831;844;1.675;694;695;1.389;4;1;5;12.762;12.113;24.875;;;
3;664;637;1.301;732;696;1.428;1.020;904;1.924;754;768;1.522;1.072;1.045;2.117;1.580;1.582;3.162;1.256;1.303;2.559;565;523;1.088;902;830;1.732;1.199;1.142;2.341;723;687;1.410;621;620;1.241;617;522;1.139;931;878;1.809;778;684;1.462;2;5;7;13.416;12.826;26.242;;;
4;656;666;1.322;728;678;1.406;928;930;1.858;767;721;1.488;1.094;1.032;2.126;1.554;1.460;3.014;1.403;1.278;2.681;587;525;1.112;911;822;1.733;1.250;1.160;2.410;785;725;1.510;657;584;1.241;611;602;1.213;948;879;1.827;775;699;1.474;3;5;8;13.657;12.766;26.423;;;
5;686;681;1.367;790;687;1.477;967;889;1.856;799;757;1.556;1.082;1.007;2.089;1.580;1.512;3.092;1.369;1.292;2.661;608;564;1.172;852;883;1.735;1.318;1.263;2.581;763;715;1.478;623;581;1.204;632;579;1.211;957;850;1.807;814;746;1.560;-;2;2;13.840;13.008;26.848;;;
6;722;681;1.403;789;723;1.512;948;901;1.849;790;726;1.516;1.123;987;2.110;1.587;1.443;3.030;1.450;1.355;2.805;582;589;1.171;915;861;1.776;1.265;1.232;2.497;741;706;1.447;589;598;1.187;652;591;1.243;934;873;1.807;807;757;1.564;3;1;4;13.897;13.024;26.921;;;
7;680;658;1.338;758;685;1.443;949;936;1.885;805;758;1.563;1.080;1.002;2.082;1.528;1.430;2.958;1.384;1.333;2.717;581;558;1.139;975;953;1.928;1.248;1.237;2.485;716;701;1.417;689;655;1.344;662;594;1.256;952;846;1.798;822;754;1.576;1;-;1;13.830;13.100;26.930;;;
8;688;737;1.425;764;706;1.470;934;875;1.809;780;720;1.500;1.067;1.008;2.075;1.528;1.371;2.899;1.466;1.396;2.862;624;569;1.193;982;925;1.907;1.342;1.153;2.495;784;743;1.527;625;644;1.269;663;623;1.286;925;898;1.823;828;795;1.623;3;-;3;14.003;13.163;27.166;;;
9;663;633;1.296;707;743;1.450;946;911;1.857;813;734;1.547;1.033;1.045;2.078;1.455;1.422;2.877;1.384;1.265;2.649;616;553;1.169;991;936;1.927;1.323;1.208;2.531;793;711;1.504;634;589;1.223;691;611;1.302;952;961;1.913;817;824;1.641;3;1;4;13.821;13.147;26.968;;;
10;669;643;1.312;752;745;1.497;947;803;1.750;808;702;1.510;1.053;973;2.026;1.384;1.333;2.717;1.306;1.262;2.568;597;554;1.151;960;880;1.840;1.171;1.160;2.331;760;708;1.468;648;569;1.217;641;611;1.252;967;838;1.805;792;736;1.528;-;2;2;13.455;12.519;25.974;;;
11;666;670;1.336;732;686;1.418;888;918;1.806;819;717;1.536;1.033;1.026;2.059;1.344;1.333;2.677;1.373;1.232;2.605;540;564;1.104;938;952;1.890;1.303;1.175;2.478;720;693;1.413;641;635;1.276;638;605;1.243;980;850;1.830;763;722;1.485;1;2;3;13.379;12.780;26.159;;;
12;659;582;1.241;734;736;1.470;857;829;1.686;771;739;1.510;994;1.017;2.011;1.256;1.254;2.510;1.354;1.261;2.615;557;526;1.083;965;894;1.859;1.219;1.201;2.420;726;699;1.425;675;595;1.270;615;602;1.217;936;898;1.834;806;730;1.536;1;-;1;13.125;12.563;25.688;;;
13;635;646;1.281;698;726;1.424;868;779;1.647;760;695;1.455;1.019;995;2.014;1.267;1.205;2.472;1.321;1.226;2.547;580;503;1.083;976;844;1.820;1.259;1.152;2.411;683;650;1.333;605;557;1.162;617;556;1.173;837;936;1.773;791;754;1.545;-;2;2;12.916;12.226;25.142;;;
14;623;610;1.233;763;693;1.456;875;843;1.718;795;743;1.538;1.013;954;1.967;1.299;1.175;2.474;1.339;1.193;2.532;547;509;1.056;940;872;1.812;1.249;1.125;2.374;719;622;1.341;643;585;1.228;637;579;1.216;865;889;1.754;746;722;1.468;1;1;2;13.054;12.115;25.169;;;
