;Popolazione straniera maschile iscritta in anagrafe al 31 dicembre 2015 per municipio e classi di età quinquennali;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Municipi;Classi quinquennali - stranieri maschi;;;;;;;;;;;;;;;;;;
;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;oltre;Totale
1;715;619;469;615;2.731;4.243;4.703;4.098;2.698;1.864;1.329;923;578;394;232;167;78;80;26.536
2;373;344;354;277;298;424;760;820;780;751;668;497;303;178;94;49;31;29;7.030
3;501;426;362;351;436;591;883;993;804;685;466;332;167;98;51;29;18;18;7.211
4;435;433;357;304;439;777;978;985;799;592;396;287;202;81;41;25;11;7;7.149
5;1.354;1.166;902;809;1.061;1.760;2.831;3.322;2.418;1.831;1.166;752;368;167;81;48;27;16;20.079
6;1.808;1.672;1.121;953;1.344;2.201;2.878;3.101;2.633;1.906;1.050;681;317;171;44;32;23;7;21.942
7;781;684;569;543;685;1.156;1.675;1.844;1.431;1.109;726;498;257;138;63;39;20;16;12.234
8;318;281;228;250;318;496;783;931;644;547;364;226;164;118;45;31;19;13;5.776
9;384;377;305;329;376;606;754;775;674;613;422;297;196;124;48;32;16;16;6.344
10;734;711;524;500;554;948;1.351;1.577;1.341;1.146;670;473;265;126;54;42;16;16;11.048
11;623;601;545;504;569;840;1.197;1.353;1.015;883;517;380;185;92;53;30;28;35;9.450
12;317;310;298;234;314;439;748;820;708;603;433;317;183;112;65;36;10;16;5.963
13;488;450;402;360;466;689;991;1.172;1.058;869;582;366;229;124;82;42;28;19;8.417
14;653;632;566;472;533;726;1.050;1.206;1.125;931;631;406;245;127;68;37;17;10;9.435
15;725;758;676;639;681;925;1.304;1.571;1.454;1.346;903;636;376;202;95;55;19;29;12.394
n. l.;0;1;0;3;3;4;3;3;8;8;5;4;6;1;1;0;0;0;50
Roma;10.209;9.465;7.678;7.143;10.808;16.825;22.889;24.571;19.590;15.684;10.328;7.075;4.041;2.253;1.117;694;361;327;171.058
Dati di Fonte Anagrafica;;;;;;;;;;;;;;;;;;;
Elaborazioni Ufficio di Statistica;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
