Municipio;Codice scuola;Tipo scuola;Natura giuridica;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
1;3557;INFANZIA;COMUNALE;A. BACCARINI;VIA SFORZA 2;06/4883788;08:00 / 17:00;3;75;67;33;34;43;24;44;23
1;3549;INFANZIA;COMUNALE;A. CADLOLO;VIA DELLA RONDINELLA 2;06/68802521;08:00 / 17:00;4;100;92;44;48;61;31;87;5
1;2886;INFANZIA;COMUNALE;ADELAIDE CAIROLI;VIA GIORDANO BRUNO 2;06/39738646;08:00 / 17:00;7;172;154;78;76;111;43;121;33
1;3553;INFANZIA;COMUNALE;E.GIANTURCO;VIA DELLA PALOMBELLA 4;06/68307753;08:00 / 17:00;3;63;47;17;30;35;12;40;7
1;3556;INFANZIA;COMUNALE;E.PESTALOZZI;VIA MENTANA 1;06/4941465;08:00 / 17:00;2;50;40;18;22;26;14;22;18
1;2891;INFANZIA;COMUNALE;ERMENEGILDO PISTELLI;VIA MONTE ZEBIO 33;06/37352114;08:00 / 17:00;8;200;199;93;106;147;52;194;5
1;3554;INFANZIA;COMUNALE;E.RUSPOLI;VIA DI GESU' E MARIA 28;06/3614185;08:00 / 17:00;2;50;42;23;19;33;9;34;8
1;3558;INFANZIA;COMUNALE;F. DI DONATO;VIA CONTE VERDE 47;06/77071922;07:00 / 17:00;3;75;73;39;34;49;24;56;17
1;3551;INFANZIA;COMUNALE;G. MAMELI;VIA DEI GENOVESI 30;06/5816462;07:30 / 17:00;2;50;43;25;18;35;8;39;4
1;3550;INFANZIA;COMUNALE;G.G. BADINI;PIAZZA DI S. ALESSIO 34;06/5742051;08:00 / 17:00;4;90;90;53;37;66;24;87;3
1;3548;INFANZIA;COMUNALE;G.GRILLI;PIAZZALE ANITA GARIBALDI 2;06/6892932;08:00 / 17:00;1;25;25;15;10;23;2;25;0
1;6422;INFANZIA;COMUNALE;GIARDINIERI;VIA DI PORTA S. SEBASTIANO 2;06/70492990;08:00 / 16:30;3;60;51;30;21;36;15;51;0
1;2888;INFANZIA;COMUNALE;GIOVAN  BATTISTA VICO;PIAZZALE DEGLI EROI 14;06/39720008;08:00 / 17:00;9;225;218;114;104;160;58;180;38
1;3552;INFANZIA;COMUNALE;LA SCALA;PIAZZA DELLA SCALA 22;06/5809205;08:00 / 17:00;3;75;73;30;43;52;21;69;4
1;2648;INFANZIA;COMUNALE;LEOPOLDO FRANCHETTI;PIAZZA GIAN LORENZO BERNINI 26;06/5743041;07:30 / 17:00;4;96;90;48;42;66;24;84;6
1;3555;INFANZIA;COMUNALE;L.SETTEMBRINI;VIA DEL LAVATORE 38;06/6787508;08:00 / 17:00;2;50;40;15;25;29;11;33;7
