Municipio;Codice scuola;Tipo scuola;Natura giuridica;Tipologia;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
1;6467;NIDO;PRIVATO;Convenzione;ASSONIDO CLODIA;CIRCONVALLAZIONE CLODIA 133;06/36004011;08:00 / 16:30;3;20;20;13;7;6;8;6;0;20;20;0
1;3751;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;BIMBO MIO;VIA ANTONIO CANTORE 4;06/3720043;08:00 / 13:00;2;18;17;11;6;0;9;8;0;17;15;2
1;3112;NIDO;COMUNALE;;BRONTOLO;VIA ANTONIO GENOVESI 24;06/39735095;08:00 / 16:30;3;69;60;28;32;15;27;18;0;60;57;3
1;6440;NIDO;PRIVATO;Aziendale;CIP E CIOP;VIA DELLA MERCEDE 96;/;08:00 / 16:30;3;6;6;3;3;1;2;3;0;6;4;2
1;3290;NIDO;COMUNALE;;COCCOLE & CO;VIA DEL MONTE OPPIO 34;06/47886784;07:30 / 17:00;3;69;56;31;25;16;27;13;0;56;46;10
1;3292;NIDO;COMUNALE;;I COCCETTI;VIA NICOLA ZABAGLIA 27;06/57286319;08:00 / 16:30;3;69;65;30;35;14;27;24;0;65;62;3
1;5779;NIDO;PRIVATO;Aziendale;IL GIARDINO MAGICO;VIA DI S. STEFANO ROTONDO 6;06/77052871;08:00 / 16:30;3;16;16;11;5;5;4;7;0;16;16;0
1;3213;NIDO;COMUNALE;;IL MAGGIOLINO;VIA NOVENIO BUCCHI 2;06/37515124;08:00 / 16:30;3;75;70;40;30;14;29;27;0;70;66;4
1;3107;NIDO;COMUNALE;;IL NIDO DI IQBAL;VIA ANGELO EMO 13;06/39721041;08:00 / 16:30;3;69;58;29;29;15;23;20;1;57;55;3
1;3906;NIDO;COMUNALE;;LA PORTA MAGICA;VIA BIXIO 87;06/77076997;08:00 / 16:30;2;47;44;20;24;0;25;19;0;44;29;15
1;3766;NIDO;COMUNALE;;L'ANGOLO DEI PICCOLI;VIA MENTANA 1;06/4461159;08:00 / 16:30;3;17;17;13;4;7;4;6;0;17;12;5
1;3289;NIDO;COMUNALE;;MAMELI;VIA GOFFREDO MAMELI 31;06/5814969;08:00 / 16:30;3;69;63;31;32;17;27;19;0;63;55;8
1;3910;NIDO;PRIVATO;Convenzione;ME AGAPE;VIALE MANLIO GELSOMINI 28;06/57301920;08:00 / 16:30;3;17;17;11;6;5;6;6;0;17;17;0
1;5576;NIDO;COMUNALE;;MICRONIDO COLOMBO;VIA SILVIO PELLICO 9;06/3721739;08:00 / 16:30;2;46;45;19;26;0;23;22;0;45;44;1
1;3110;NIDO;COMUNALE;;PINOCCHIO;PIAZZALE DEGLI EROI 12;06/39760504;08:00 / 16:30;3;69;67;37;30;15;27;25;0;67;58;9
1;3753;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;POLLICINO;VIA ANGELO EMO 8;06/83508757;08:00 / 13:00;2;23;17;11;6;0;7;10;0;17;16;1
1;3911;NIDO;PRIVATO;Aziendale;PONTEPONENTEPONTEPI;PIAZZALE OSTIENSE 2;06/57996615;08:00 / 16:30;2;10;10;5;5;0;6;4;0;10;10;0
1;3291;NIDO;COMUNALE;;SAN GREGORIO AL CELIO;SALITA DI S. GREGORIO 3;06/7005415;08:00 / 16:30;3;90;85;43;42;22;34;29;0;85;78;7
2;5616;NIDO;PRIVATO;Convenzione;GIOCO COCCOLE & BIBERON;LARGO TEMISTOCLE SOLERA 7;06/45447867;08:00 / 16:30;3;29;29;13;16;4;16;9;0;29;27;2
2;5699;NIDO;PRIVATO;Convenzione;GIRODONDOLO;VIA TRIPOLITANIA 175;06/86214960;08:00 / 16:30;3;24;24;11;13;8;9;7;0;24;23;1
2;3318;NIDO;COMUNALE;;GRILLO JO;VIA DI VILLA NARDUCCI ;06/44243598;08:00 / 16:30;3;106;103;59;44;28;46;29;0;103;95;8
2;5633;NIDO;PRIVATO;Aziendale;I CUCCIOLI;VIA NOMENTANA 2;06/44122111;08:00 / 16:30;3;1;1;0;1;0;1;0;0;1;0;1
2;3285;NIDO;COMUNALE;;IL MONDO INCANTATO;VIA BOLIVIA 3;06/80693699;08:00 / 16:30;3;70;61;36;25;9;27;25;0;61;54;7
2;3284;NIDO;COMUNALE;;IL PICCOLO PRINCIPE;VIA ADIGRAT 2;06/86399301;08:00 / 16:30;2;32;29;14;15;0;16;13;0;29;25;4
2;3278;NIDO;COMUNALE;;J. MIRO';VIALE ARRIGO BOITO 47;06/8608976;08:00 / 16:30;3;80;79;34;45;15;32;32;0;79;75;4
2;3282;NIDO;COMUNALE;;L'ARCA;VIA VENEZUELA 40;06/8086111;07:30 / 17:00;3;80;72;33;39;17;30;25;0;72;59;13
2;3319;NIDO;COMUNALE;;LUCIGNOLO E PINOCCHIO;VIA DEI SABELLI 88;06/44361993;07:30 / 17:00;3;92;71;27;44;16;35;20;0;71;63;8
2;5768;NIDO;COMUNALE;;LUNA CRESCENTE;VIA FLAMINIA 225;06/3243375;08:00 / 16:30;2;28;26;15;11;0;11;15;0;26;24;2
2;3762;NIDO;PRIVATO;Convenzione;MONTESSORI;VIA NOMENTANA 54;06/44235477;08:00 / 16:30;2;23;23;10;13;0;11;12;0;23;23;0
2;5704;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;PAN DI ZUCCHERO;VIA TRIPOLI 64;06/86399024;08:00 / 18:30;4;50;50;26;24;0;22;28;0;50;48;2
2;3279;NIDO;COMUNALE;;PICCOLO PINOCCHIO;VIA CIRENAICA 5;06/86219787;08:00 / 16:30;3;78;77;32;45;21;28;28;0;77;67;10
2;3283;NIDO;COMUNALE;;POLLICINA;VIA FRANCESCO GAI 9;06/3234396;08:00 / 16:30;3;45;37;26;11;5;15;17;0;37;36;1
2;5615;NIDO;PRIVATO;Convenzione;PRIMI PASSI;VIA NOMENTANA 341;06/862239249;08:00 / 16:30;2;18;18;12;6;0;9;9;0;18;18;0
2;3982;NIDO;PRIVATO;Convenzione;REGINA MARGHERITA;VIA DEI CAMPANI 75;06/4462381;08:00 / 16:30;3;60;54;24;30;19;20;15;0;54;51;3
2;3945;NIDO;COMUNALE;;SARDI;VIA DEI SARDI 35;06/49381662;08:00 / 16:30;2;37;25;13;12;0;7;18;0;25;21;4
2;5547;NIDO;SPAZIO BE.BI COMUNALE;;SPAZIO B.E.B.I. VIA ADIGRAT;VIA ADIGRAT 2;06/86399694;08:00 / 13:00;2;12;9;4;5;0;5;4;0;9;4;5
2;3281;NIDO;COMUNALE;;VILLA ADA;VIA DI PONTE SALARIO 99;06/86386868;08:00 / 16:30;3;80;67;35;32;15;23;29;0;67;66;1
2;3280;NIDO;COMUNALE;;VILLA CHIGI;VIA NICOLO' PICCINNI 60;06/86386882;07:30 / 17:00;3;82;82;36;46;20;31;31;0;82;68;14
3;3963;NIDO;COMUNALE;;A PICCOLI PASSI;VIA CARMELO MARAVIGNA ;06/95950433;08:00 / 16:30;3;60;57;27;30;12;24;21;0;57;52;5
3;3747;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;ALADINO;VIA LATERINA 15;06/8819091;07:30 / 19:30;4;25;14;6;8;0;5;9;0;14;11;3
3;3263;NIDO;COMUNALE;;ARCOBALENO;VIA DELLE ISOLE CURZOLANE 69;06/8182614;08:00 / 16:30;3;57;57;25;32;10;22;25;0;57;49;8
3;3790;NIDO;PRIVATO;Convenzione;BIMBO SERENO;VIA FERRUCCIO AMENDOLA 50;06/87132128;08:00 / 16:30;3;56;54;30;24;14;15;25;0;54;53;1
3;3262;NIDO;COMUNALE;;CASTELLO DI GELSOMINA;VIA ENZO CERUSICO ;39/3665819357;07:30 / 17:00;3;69;62;24;38;15;23;24;0;62;57;5
3;3272;NIDO;COMUNALE;;CASTELLO INCANTATO;VIA DELLA BUFALOTTA 395;06/95950427;08:00 / 16:30;3;69;68;35;33;15;27;26;0;68;63;5
3;3265;NIDO;COMUNALE;;CECCHINA;VIA DELLA CECCHINA 30;06/87136291;08:00 / 16:30;3;69;69;29;40;15;27;27;0;69;68;1
3;3266;NIDO;COMUNALE;;COCCO-DRILLI E COMPANY;VIA CLELIA BERTINI ATTILJ ;06/82086784;07:30 / 17:00;3;69;63;31;32;12;28;23;0;63;57;6
3;3270;NIDO;COMUNALE;;EUREKA;VIA MONTE RESEGONE ;06/95950476/26;08:00 / 16:30;3;69;68;31;37;12;29;27;0;68;67;1
3;5807;NIDO;PRIVATO;Convenzione;GLI SCOIATTOLI;VIA TASMANIA 18;06/87248224;08:00 / 16:30;2;18;18;10;8;0;6;12;0;18;16;2
3;5676;NIDO;PRIVATO;Convenzione;I COLORI DEL MONDO - VILLA SPADA;VIA ANNIBALE MARIA DI FRANCIA 4;06/88528373;08:00 / 16:30;3;106;90;36;54;17;39;34;0;90;80;10
3;3880;NIDO;PRIVATO;Convenzione;ISTITUTO SANTA TERESA;VIA AUGUSTO PIERANTONI 30;06/8125119;08:00 / 16:30;3;27;27;14;13;5;11;11;0;27;26;1
3;5843;NIDO;COMUNALE;;LA CASA DEI BAMBINI;VIA GIOVANNI CONTI 40;06/95950436;08:00 / 16:30;2;40;40;20;20;0;20;20;0;40;39;1
3;5675;NIDO;PRIVATO;Convenzione;LA CASA SULL'ALBERO;VIALE GOTTARDO 117;06/43417157;08:00 / 16:30;3;50;50;25;25;14;19;17;0;50;46;4
3;5758;NIDO;COMUNALE;;LA CONTEA DEGLI HOBBIT;VIA GIULIO PASQUATI 45;06/95950434;08:00 / 16:30;3;66;66;31;35;14;26;26;0;66;64;2
3;5841;NIDO;PRIVATO;Convenzione;LILLIPUT;VIA VALLARSA 28;06/87186254;08:00 / 16:30;2;25;25;13;12;0;12;13;0;25;23;2
3;5842;NIDO;PRIVATO;Convenzione;L'ISOLA CHE NON C'E';VIA PETRITOLI 51;06/8815464;08:00 / 16:30;3;30;30;15;15;6;12;12;0;30;29;1
3;3789;NIDO;PRIVATO;Convenzione;PARADISO D'INFANZIA;VIA FRANCESCO PAIS SERRA 11;06/87131344;08:00 / 16:30;3;33;33;23;10;10;14;9;0;33;32;1
3;3881;NIDO;PRIVATO;Convenzione;PARCO DEI BAMBINI MONTESSORI;VIA DELLA BUFALOTTA 1070;06/87120266/175;08:00 / 16:30;2;68;68;36;32;0;34;34;0;68;66;2
3;3745;NIDO;COMUNALE;;PARCO VERDE;VIA DARIO NICCODEMI 95;06/95950430;08:00 / 16:30;3;69;67;36;31;15;27;25;0;67;64;3
3;3267;NIDO;COMUNALE;;PIANETA INFANZIA;VIA DI MONTE SACRO 17;06/86898440;08:00 / 16:30;3;50;49;29;20;10;21;18;0;49;44;5
3;5583;NIDO;COMUNALE;;PICCOLI TALENTI;VIA DARIO NICCODEMI 95;06/95950432;07:30 / 17:00;3;69;68;41;27;14;27;27;0;68;65;3
3;3264;NIDO;COMUNALE;;PRINCIPE RANOCCHIO;VIA UGO OJETTI 385;06/45519013;08:00 / 16:30;3;69;66;32;34;15;27;24;0;66;55;11
3;3268;NIDO;COMUNALE;;SOPHIA;VIA DON GIUSTINO MARIA RUSSOLILLO 47;/;08:00 / 16:30;3;69;67;41;26;15;27;25;0;67;59;8
3;3261;NIDO;COMUNALE;;SPAZIO BIMBO;VIA DI VALLE MELAINA 57;06/87198308;08:00 / 16:30;3;69;68;40;28;13;28;27;0;68;53;15
3;3746;NIDO;PRIVATO;Convenzione;UN'ISOLA PER TE;VIA DOMENICO COMPARETTI 55;06/8689200;08:00 / 16:30;3;24;21;8;13;8;8;5;0;21;20;1
4;3720;NIDO;PRIVATO;Convenzione;AMIGOS;VIA LANFRANCO CIGALA 41;06/4190740;08:00 / 16:30;3;36;31;18;13;6;10;15;0;31;27;4
4;5775;NIDO;PRIVATO;Aziendale;ASL RM B;VIA DEI MONTI TIBURTINI 385;06/41434478;08:00 / 16:30;3;10;10;4;6;3;3;4;0;10;10;0
4;3721;NIDO;PRIVATO;Convenzione;BABY 2000;VIA SEBASTIANO SATTA 80;06/4392333;08:00 / 16:30;3;46;47;27;20;12;17;18;0;47;42;5
4;5581;NIDO;PRIVATO;Convenzione;BIMBI & BLUES;VIA DELLA MORTELLA 35;06/43251795;08:00 / 16:30;3;82;79;46;33;18;34;27;0;79;77;2
4;6453;NIDO;COMUNALE;;BIMBILANDIA;VIA FRANCESCO PAOLO BONIFACIO ;/;08:00 / 16:30;3;40;27;16;11;10;9;8;0;27;25;2
4;3714;NIDO;COMUNALE;;BOLLE DI SAPONE;VIA PESCOSOLIDO 130;06/41796280;08:00 / 16:30;3;69;21;12;9;0;9;12;0;21;17;4
4;3724;NIDO;PRIVATO;Convenzione;CASA GIARDINO;PIAZZA GIUSEPPE GOLA 61;06/8271460;08:00 / 16:30;3;36;36;17;19;4;17;15;0;36;36;0
4;3901;NIDO;COMUNALE;;CASETTA GIANNI;VIALE DELLA TORRE DI PRATOLUNGO ;06/41409231;08:00 / 16:30;3;45;29;14;15;4;14;11;0;29;27;2
4;5712;NIDO;PRIVATO;Convenzione;DODO';VIA DELLA TENUTA DEL CAVALIERE 80;06/4191289;08:00 / 16:30;3;24;18;8;10;4;6;8;0;18;14;4
4;3902;NIDO;COMUNALE;;ELEFANTI E TOPOLINI;VIA VERTUMNO 60;06/41711985;08:00 / 16:30;3;74;66;38;28;17;27;22;0;66;62;4
4;6432;NIDO;PRIVATO;Concessione;FLORA;VIA FLORA ;06/94377716;08:00 / 16:30;3;77;76;40;36;22;27;27;0;76;73;3
4;6452;NIDO;COMUNALE;;GIOCOLANDIA;VIA MONTECASSIANO 120;06/41205781;08:00 / 16:30;3;40;0;0;0;0;0;0;0;0;0;0
4;3727;NIDO;PRIVATO;Convenzione;GIOCOLANDO;PIAZZALE HEGEL 6;06/86894349;08:00 / 16:30;2;20;19;9;10;0;9;10;0;19;19;0
4;3793;NIDO;PRIVATO;Convenzione;GOGHLIGO;VIA BONVESIN DE LA RIVA 85;06/41469000;08:00 / 16:30;3;19;11;8;3;0;5;6;0;11;11;0
4;3712;NIDO;COMUNALE;;I BAMBINI DELL'ALBERO AZZURRO;VIA FEDERICO MILLOSEVICH 18;06/4503935;08:00 / 16:30;3;69;62;31;31;15;21;26;0;62;51;11
4;3716;NIDO;COMUNALE;;IL  NOSTRO GIROTONDO;VIA ERNESTO ROSSI 29;06/4067725;08:00 / 16:30;3;69;67;35;32;14;27;26;0;67;63;4
4;6347;NIDO;PRIVATO;Aziendale;IL CASELLO DEI PICCOLI;VIA VITTORIO ZINCONE 1;06/43635909;08:00 / 16:30;3;20;20;16;4;5;7;8;0;20;20;0
4;5714;NIDO;PRIVATO;Convenzione;IL DIRIGIBILE;VIALE RATTO DELLE SABINE 5;06/41299057;08:00 / 16:30;3;67;64;33;31;15;28;21;0;64;60;4
