;;;;MISURE CAMPO ELETTROMAGNETICO;;;;;
N. PROT QL;DATA MISURA;MUNICIPIO;VIA;PUNTO;ESPOSIZIONE E(V/m);ATTENZIONE E(V/m);QUALITA' E(V/m);ESPOSIZIONE SU 24 ORE;ATTENZIONE SU 24 ORE
;;;;;;;;;
QLFCB/2013/54981;19/07/2012;IX;Cesare Pavese 68;1;0,35;0,35;-;;
QLFCB/2013/58086;08/02/2013;II;Gian Giacomo Porro 27;1;1,6;1,6;-;;
QLFCB/2013/58086;08/02/2013;II;Gian Giacomo Porro 27;2;3,9;3,9;-;;
QLFCB/2013/54988;19/03/2013;XI;Giovanni Volpato 8;1;1,82;1,82;-;;
QLFCB/2013/54976;26/03/2013;XIV;Cecilio Stazio 45;1;4,2;4,2;-;;
QLFCB/2013/54984;28/03/2013;IV;Alessandro Malladra 54;1;0,38;0,38;-;;
QLFCB/2013/54995;09/04/2013;XII;Fratelli Bandiera 6;1;1,43;1,43;-;;
QLFCB/2013/54974;10/04/2013;V;Gaetano Ermoli 8;1;1,22;1,22;-;;
QLFCB/2013/54992;18/04/2013;XII;di Monteverde 88;1;0;0;-;;
QLFCB/2013/54922;22/04/2013;III;Casale Giuliani 24;1;0,88;0,88;-;;
QLFCB/2013/54924;23/04/2013;XIV;Robbio 34;1;2,32;2,32;-;;
QLFCB/2013/54997;23/04/2013;XIV;Mezzoldo 95;1;1,33;1,33;-;;
QLFCB/2013/54998;30/04/2013;IX;Tempio del Cielo 1-5;1;0,33;0,33;-;;
QLFCB/2013/58084;30/04/2013;XIV;Cogoleto 13;1;0;0;-;;
QLFCB/2013/58088;07/05/2013;XI;Luigi Angeloni 60;1;2,52;2,52;-;;
QLFCB/2013/57619;16/05/2013;IV;viale Sacco e Vanzetti 213;1;0,97;0,97;-;;
QLFCB/2013/57611;21/05/2013;III;Ortezzano 12;1;4,1;4,1;-;;
QLFCB/2013/57617;21/05/2013;V;Casal dè Pazzi 59A;1;1,77;1,77;-;;
QLFCB/2013/57617;21/05/2013;V;Casal dè Pazzi 59A;2;1,88;1,88;-;;
QLFCB/2013/37228;23/05/2013;VII;Largo Orazi e Curiazi 3;1;3,45;3,45;-;;
QLFCB/2013/58687;17/07/2013;IX;viale dell'Aeronautica 60;1;0,55;0,55;-;;
QLFCB/2013/58687;17/07/2013;IX;viale dell'Aeronautica 60;2;1,2;1,2;-;;
QLFCB/2013/58947;17/07/2013;II;Fratelli Ruspoli 14;1;0;0;-;;
QLFCB/2013/52114;20/07/2013;VII;Carlo Fadda 131;1;0,49;0,49;-;;
QLFCB/2013/53037;30/07/2013;VIII;Giuseppe Acerbi 19;1;0;0;-;;
QLFCB/2013/53038;30/07/2013;VIII;del Commercio 12;1;0;0;-;;
QLFCB/2013/56512;27/08/2013;VII;Corfinio 23;1;0;0;-;;
QLFCB/2013/59223;02/09/2013;X;Giuseppe Genoese Zerbi 4;1;0;0;-;;
QLFCB/2013/57503;03/09/2013;XIV;Landucci Tosi 4;1;1,84;1,84;-;;
QLFCB/2013/57503;03/09/2013;XIV;Landucci Tosi 4;2;2,23;2,23;-;;
QLFCB/2013/57503;03/09/2013;XIV;Landucci Tosi 4;3;0;0;-;;
QLFCB/2013/57503;03/09/2013;XIV;Landucci Tosi 4;4;0;0;-;;
QLFCB/2013/59234;10/09/2013;XIII;Gaetano Mazzoni 58;1;1,35;1,35;-;;
QLFCB/2013/60046;12/09/2013;II;Roccantica 6;1;4,4;4,4;-;;
QLFCB/2013/62700;17/09/2013;IX;Saponaro 10;1;0;0;-;;
QLFCB/2013/62695;19/09/2013;XIV;Giovanni Marchesini 3;1;1,35;1,35;-;;
QLFCB/2013/65143;25/09/2013;V;Vincenzo Tineo 21;1;0;0;-;;
QLFCB/2013/65143;25/09/2013;V;Vincenzo Tineo 21;2;1,01;1,01;-;;
QLFCB/2013/65143;25/09/2013;V;Vincenzo Tineo 21;3;1,52;1,52;-;;
QLFCB/2013/62811;26/09/2013;XIV;della Balduina 135;1;1,27;1,27;-;;
QLFCB/2013/64714;04/10/2013;VII;Massimo Severo Giannini 23;1;1,32;1,32;-;;
QLFCB/2013/66359;08/10/2013;XIV;dell'Assunzione 75;1;0;0;-;;
QLFCB/2013/69378;22/10/2013;XIV;Rosasco 42;1;2,42;2,42;-;;
QLFCB/2014/3035;25/10/2013;VI;Canosa di Puglia 28;1;1,2;1,2;-;;
QLFCB/2013/71312;29/10/2013;II;Taramelli 32;1;2,88;2,88;-;;
QLFCB/2013/74595;13/11/2013;II;Piazza Bologna 22;1;3,07;3,07;-;;
QLFCB/2013/83832;13/11/2013;XIII;Bonaventura Cerretti 37;1;2,68;2,68;-;;
QLFCB/2013/83840;13/11/2013;I;Francesco Sivori 48;1;1,13;1,13;-;;
QLFCB/2013/81534;06/12/2013;X;Pietro Romani 47;1;4;4;-;;
QLFCB/2013/81534;06/12/2013;X;Pietro Romani 47;2;2,75;2,75;-;;
QLFCB/2013/81534;06/12/2013;X;Pietro Romani 47;3;2,25;2,25;-;;
QLFCB/2014/4629;06/12/2013;X;Niceneto 135/137;1;0,44;0,44;-;;
QLFCB/2014/12856;06/12/2013;VI;Bottidda 161;1;0,67;0,67;-;;
QLFCB/2014/13374;19/12/2013;X;Lorenzo Nerucci 13;1;1,27;1,27;-;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
