;;;;MISURE CAMPO ELETTROMAGNETICO;;;;;
N. PROT QL;DATA MISURA;MUNICIPIO;VIA;PUNTO;ESPOSIZIONE E(V/m);ATTENZIONE E(V/m);QUALITA' E(V/m);ESPOSIZIONE SU 24 ORE;ATTENZIONE SU 24 ORE
;;;;;;;;;
QLFCB/2017/1862;10/01/2017;VII;PIAZZA ARULENO CELIO SABINO 19 ;1;1,06;1,06;-;;
QLFCB/2017/2969;10/01/2017;I;PIAVE 80;1;4,03;4,03;-;3,04;3,04
QLFCB/2017/3784;10/01/2017;XIV;DELLA BALDUINA 288 ;1;2,08;2,08;-;;
QLFCB/2017/7349;19/01/2017;XII;LUIGI CORTI 32;1;0,41;0,41;-;;
QLFCB/2017/4282;20/01/2017;III;NOMENTANA 299 ;1;2,8;2,8;-;;
QLFCB/2017/4556;24/01/2017;II;TRIPOLITANA 195 ;1;1,28;1,28;-;;
QLFCB/2017/7353;25/01/2017;VII;DEL CASALE SANTARELLI 107 ;1;1,41;1,41;-;;
QLFCB/2017/7354;25/01/2017;V;DELLA RUSTICA 294 ;1;2,31;2,31;-;;
QLFCB/2017/7004;31/01/2017;IX;DEI SOMMOZZATORI 7;1;1,21;1,21;-;;
QLFCB/2017/7006;31/01/2017;IX;DELL'OCEANO ATLANTICO 19 ;1;0;0;-;;
QLFCB/2017/8294;01/02/2017;IX;ESPERANTO 25-27 ;1;1,3;1,3;-;;
QLFCB/2017/10089;14/02/2017;VII;AMITERNO 54 ;1;0;0;-;;
QLFCB/2017/14653;09/03/2017;XI;ERNESTO NATHAN 75;1;1,43;1,43;-;;
QLFCB/2017/14653;09/03/2017;XI;ERNESTO NATHAN 75;2;0;0;-;;
QLFCB/2017/16440;14/03/2017;XV;FLAMINIA 79 ;1;1,59;1,59;-;;
QLFCB/2017/18439;22/03/2017;IV;DEI LUXARDO 33C ;1;0,41;0,41;-;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
