Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Via Stefano Oberto 6p;00173;RM;Roma;7;Italia;Larvicida e adulticida;6;3;12/06/2014;13/10/2014;12/06/2014;13/10/2014;3 settimane;3 settimane;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Annone 81;00199;RM;Roma;2;Italia;Larvicida e adulticida;5;5;giu-14;ott-14;giu-14;ott-14;mensile;mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tiberina 82/84;00188;RM;Roma;15;Italia;Larvicida e adulticida;5;5;giu-14;ott-14;giu-14;ott-14;mensile;mensile;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ripa Mammea 6;00156;RM;Roma;4;Italia;Larvicida e adulticida;6;6;26/04/2014;04/09/2014;26/04/2014;04/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ponzio Cominio 42;00176;RM;Roma;7;Italia;Larvicida e adulticida;1;3;12/06/2014;12/06/2014;13/08/2014;ott-14;1 volta;mensile;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Pietralata 204;00158;RM;Roma;4;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pasquale Galluppi 2;00136;RM;Roma;1;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Gioeni 30;-;RM;Roma;4;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Carlo Giuseppe Gismondi 60/64;00157;RM;Roma;4;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Busto Arsizio 18;00188;RM;Roma;15;Italia;Larvicida e adulticida;5;5;10/06/2014;15/09/2014;10/06/2014;15/09/2014;mensile;mensile;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Abigaille Zanetta 18;00143;RM;Roma;9;Italia;Larvicida e adulticida;5;5;01/07/2014;15/09/2014;01/07/2014;15/09/2014;mensile;mensile;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Arezzo 26;00161;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Francesco Siacci 25;00197;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Godenzo 47;00184;RM;Roma;15;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Angelo Messedaglia 36;00191;RM;Roma;15;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Farnesina 308;00194;RM;Roma;15;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza dei Martiri di Belfiore 4;00195;RM;Roma;1;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Ferrari 12;00195;RM;Roma;1;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Ferrari 4;00195;RM;Roma;1;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Panama 96;00198;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Panama 102;00198;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Bruxelles 27;00198;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pietro Tacchini 7;00197;RM;Roma;2;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Largo generale Gonzaga del Vodice 4;00195;RM;Roma;1;Italia;Larvicida e adulticida;3;3;03/06/2014;04/08/2014;03/06/2014;04/08/2014;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ettore Arena 75/101;00128;RM;Roma;9;Italia;Larvicida e adulticida;3;3;20/05/2014;23/09/2014;24/06/2014;21/10/2014;60 giorni;60 giorni;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Avignone 89/91;00144;RM;Roma;9;Italia;Larvicida e adulticida;3;3;20/05/2014;23/09/2014;24/06/2014;23/09/2014;60 giorni;60 giorni;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Franco Bonvicini 9;00127;RM;Roma;9;Italia;Larvicida e adulticida;3;3;20/05/2014;23/09/2014;24/06/2014;23/09/2014;60 giorni;60 giorni;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
