Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Proxilar com.;Permeplus;Flubex;Rothryn 200;Porter;Tator;Garban;Cipex 10E;Vectobac DT;Aquakhotrine;Diflorex;Cymina Plus;Sandokan 7335;Microsin;Roltab;Amplat;Device TB2;Permex 22E;Aqualarv;Nexa;Diflox;No-Larv;Cyperbase;Cipertrin T;Dudin SC 15;Aedex;Skeetal;Adicip;Zamho;Pertrin S;Rotryn 50;Larvistop;Altogran;K-othrine;Bifemite;Solfac;Deltakill flow;Wacip 1000;Decapy flow;Sumilarv;Exit 100;Fendona;Permesol;Diflox cpr.;Diflox flow.;Deltacid;Toolex;Permebase;Garban;Cipekill;Nurelle;Bio-Amplat;Aquacyp;Vectomax;Boxtar;Delta Super;Fenthrin;Mida tarvis;Deadyna;Green Larv;Veloxidin;Baycidal WP 25;Aquapy;Permebase
Viale Spartaco 139;00174;RM;Roma;7;Italia;larvicida e adulticida;4;4;giu-15;set-15;giu-15;set-15;mensile;mensile;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F. D'Ovidio 55;00137;RM;Roma;3;Italia;larvicida e adulticida;1;1;26/06/2015;26/06/2015;03/07/2015;03/07/2015;una volta;una volta;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mondovç 12;00138;RM;Roma;7;Italia;larvicida e adulticida;1;1;26/06/2015;26/06/2015;03/07/2015;03/07/2015;una volta;una volta;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Castel Bolognese 30;00153;RM;Roma;12;Italia;larvicida e adulticida;3;3;mag-15;lug-15;mag-15;lug-15;40 giorni;40 giorni;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pietro Carioni 71;00100;RM;Roma;12;Italia;larvicida e adulticida;4;4;giu-15;set-15;giu-15;set-15;mensile;mensile;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via di Villa Pepoli 5;00153;RM;Roma;1;Italia;larvicida e adulticida;4;4;giu-15;set-15;giu-15;set-15;mensile;mensile;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ettore Rolli 46;00153;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Trastevere 301;00100;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Filippo Chiappini 16;00100;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ponte Buggianese 28;00148;RM;Roma;11;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Cipriano 49;00100;RM;Roma;1;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Filippo Chiappini 15;00153;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G.B. Gisleni 21;00163;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Parini 2;00152;RM;Roma;12;Italia;adulticida;0;5;-;-;mag-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giano Parrasio 6;00152;RM;Roma;12;Italia;adulticida;0;3;-;-;lug-15;set-15;-;mensile;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Carini 22-24;;RM;Roma;12;Italia;larvicida;4;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Traversari 80;;RM;Roma;12;Italia;larvicida;4;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Revoltella 66;;RM;Roma;12;Italia;larvicida;4;0;;;-;-;2 settimane;-;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
