Ispezioni su società che effettuano servizi per conto di Roma Capitale per mese. Principali caratteristiche;;;;;;;;;;;;
Roma Capitale;;;;;;;;;;;;
Anno 2012;;;;;;;;;;;;
;;;;;;;;;;;;
MESE;N° ISPEZIONI;N° ACCESSI IN CANTIERE;DITTE AGGIUDICATARIE;SUBAPPALTI;TOTALE DITTE;* DITTE NON AUTORIZZATE;N° OPERAI PRESENTI IN CANTIERE;N° OPERAI INTERVISTATI; * N° OPERAI IRREGOLARI*;* N° OPERAI NON AUTORIZZATI;SEGNALAZIONI IRREGOLARITA' RISCONTRATE ;SOSPENSIONI LAVORAZIONI DI CANTIERI
GENNAIO;11;4;10;8;18;0;65;23;0;0;4;0
FEBBRAIO;19;12;18;16;34;3;146;48;3;6;17;1
MARZO;24;14;26;10;36;3;109;61;0;10;22;2
APRILE;5;4;5;3;8;1;21;21;0;1;4;0
MAGGIO;21;10;19;8;27;0;53;51;1;0;19;1
GIUGNO;29;14;28;14;42;2;62;60;3;3;17;0
LUGLIO;5;4;5;2;7;0;17;16;0;0;4;0
AGOSTO;0;0;0;0;0;0;0;0;0;0;0;0
SETTEMBRE;20;6;14;8;22;3;44;44;3;5;14;1
OTTOBRE;23;10;25;19;44;8;92;91;5;2;15;0
NOVEMBRE;15;9;15;11;26;3;37;33;7;2;13;0
DICEMBRE;2;1;2;2;4;0;4;4;0;0;2;0
TOTALE;174;88;167;101;268;23;650;452;22;29;131;5
* Il dato è sensibile di variazioni in merito alla disamina della documentazione presentata dalle imprese in sede di commissione d'esame.;;;;;;; ;;;;;
Aggiornamento al 31/12/2012;;;;;;;;;;;;
