Ispezioni su società che effettuano servizi per conto di Roma Capitale per mese. Principali caratteristiche;;;;;;;;;;;;
Roma Capitale;;;;;;;;;;;;
Anno 2011;;;;;;;;;;;;
;;;;;;;;;;;;
MESE;N° ISPEZIONI;N° ACCESSI IN CANTIERE;DITTE AGGIUDICATARIE;SUBAPPALTI;TOTALE DITTE;DITTE NON AUTORIZZATE;N° OPERAI PRESENTI IN CANTIERE;N° OPERAI INTERVISTATI; N° OPERAI IRREGOLARI*;* N° OPERAI NON AUTORIZZATI;SEGNALAZIONI IRREGOLARITA' RISCONTRATE ;SOSPENSIONI LAVORAZIONI DI CANTIERI
GENNAIO;11;5;11;1;12;0;24;20;0;0;5;0
FEBBRAIO;9;5;10;3;13;1;23;23;0;1;5;0
MARZO;23;10;18;9;27;5;71;62;0;6;10;0
APRILE;11;6;11;7;18;5;36;36;0;7;6;1
MAGGIO;13;8;14;9;23;2;33;33;0;12;8;2
GIUGNO;23;11;23;11;34;7;52;52;4;15;11;0
LUGLIO;32;19;32;9;41;1;72;70;3;3;19;1
AGOSTO;0;0;0;0;0;0;0;0;0;0;0;0
SETTEMBRE;9;9;11;12;23;1;53;51;0;1;9;0
OTTOBRE;19;9;21;17;38;1;52;51;7;2;9;0
NOVEMBRE;20;11;22;17;39;1;71;71;2;2;11;2
DICEMBRE;13;3;13;6;19;2;20;16;0;2;3;1
TOTALE;183;96;186;101;287;26;507;485;16;51;96;7
;;;;;;; ;;;;;
;;;;;;;;;;;;
