Mercati rionali.;;;
Roma Capitale;;;
;;;
;;;
Municipio;Indirizzo;Tipologia;Posteggi complessivi del Mercato
1; CAMPO MARZIO  PIAZZA MONTE D'ORO ; COPERTO;19
1; MONTI VIA BACCINA ; COPERTO;18
1; NUOVO ESQUILINO VIA F. TURATI  PEPE; COPERTO;130
1; NUOVO ESQUILINO VIA PRINCIPE AMEDEO SANI; COPERTO;54
1; TESTACCIO PIAZZA TESTACCIO SEMI;COPERTO;
1; BOCCA DI LEONE VIA BOCCA DI LEONE L ;SCOPERTO;
1; CAMPO MARZIO I PIAZZA DELLE COPPELLE ;SCOPERTO;
1; CASTRO PRETORIO VIA MILAZZO ;SCOPERTO;
1; CELIO  VIA S.S. QUATTRO ;SCOPERTO;
1; MACAO VIA MONTEBELLO  ;SCOPERTO;
1; REGOLA I PIAZZA CAMPO DE' FIORI ;SCOPERTO;
1; REGOLA II VIA DELLA PACE ;SCOPERTO;
1; S.SABA PIAZZA G. B. BERNINI ;SCOPERTO;
1; SANTA LUCIA VICOLO DELLA MORETTA ;SCOPERTO;
1; SOMMEILLER VIA G. SOMMEILLER ;SCOPERTO;
1; TRASTEVERE PIAZZA S. COSIMATO ;SCOPERTO;
1; TREVI VIA DEL LAVATORE ;SCOPERTO;
1; VIMINALE VIA CESARE BALBO ;SCOPERTO;
1; PRATI PIAZZA DELL'UNITA' ; COPERTO;125
1; TRIONFALE VIA ANDREA DORIA ;COPERTO;
1; VITTORIA VIA MONTE SANTO ; COPERTO;92
1; TITO SPERI VIA TITO SPERI ;SCOPERTO;
2; FLAMINIO I VIA FLAMINIA 60 ; COPERTO;24
2; FLAMINIO II VIA GUIDO RENI ; COPERTO;72
2; NOMENTANO PIAZZA ALESSANDRIA ; COPERTO;74
2; PARIOLI VIALE DELLA MOSCHEA ; PLATEATICO;30
2; PINCIANO VIA G. ANTONELLI ; COPERTO;37
2; SAVOIA PIAZZA GIMMA ; COPERTO;67
