DIP.SVILUPPO ECONOMICO ATTIVITA' PRODUTTIVE -Mercato all'ingrosso dei fiori ;;;
Ufficio statistica - rilevamento prezzi del  09.05.2017;;;
SPECIE;QUANTITA’;GROSSISTI;PRODUTTORI
QUALITA’ 1a  SCELTA;;;
;;Prezzo max €;Prezzo max €
1.     ANTIRRHINUM  (Bocche di Leone) ;STELO  x 20;12.00;10.00
2.     CHRYSANTHEMUM (fiore piccolo);STELO  x 25;10.00;7.00
7.     GERBERA (Jamesonij);FIORE  x 40;10.00;9.00
8.     GYPSOPHYLA  (nebbiolina);MAZZO;10.00;8.00
9.         LILIUM (longiflorum);FIORE  x 20;11.00;9.00
10.     MARGHERITE;MAZZO;5.00;3.00
11.     MIMOSA (PUDICA);KG/€  MAZZO;  -;  -
12.         MATTHIOLA (Viola di PASQUA);STELO X 10;7.00;6.00
13.   TULIPANI;STELO X 50;17.00;  -
14.   ORCHIDEA  (cymbidium);STELO X 1;8.00;  -
15.   PRIMAVERA;MAZZO X 3;8.00;6.00
16.          ROSE  (in varietà extra);STELO   x 20 ;20.00;16.00
17.       ROSE I;STELO   x 20;10.00;8.00
18.       ROSE II;STELO   x 20;7.00;6.00
19.        ROSE III    (Roselline);STELO   x 20;5.00;4.00
20.   STRELITZIA I;STELO   x 10;10.00;8.00
21.   ZANTEDESCHIA  (Calle);FIORE    x 10;5.00;4.00
