ID,SEDE,TIPOLOGIA,MUNICIPIO,INDIRIZZO,LATITUDINE,LONGITUDINE,ORARI,INDIRIZZO EMAIL,TELEFONO,NOTE,NOTE,
1,UFFICIO PER I RAPPORTI CON I CITTADINI,GABINETTO DELLA SINDACA,I,VIA DELLE TRE PILE 1,41.89329,12.48245,lun merc ven 9.00 – 13.00,urc@comune.roma.it,06.67104876/7 ,,,
2,MUNICIPIO ROMA II,MUNICIPIO,II,VIA DIRE DAUA 11,41.929861,12.51873,mar gio 9.00 – 12.00 / 14.00 - 16.00,ld.mun02@comune.roma.it,06.69602333/4 ,,,
3,MUNICIPIO ROMA II,MUNICIPIO,II,VIA GOITO 35,41.90569,12.50068,mar gio 9.00 – 12.00 / 14.00 - 16.00, ld.mun02@comune.roma.it,06.69603333,2° (9/3),,
4,BIBLIOTECA VILLA MERCEDE,BIBLIOTECA,II,VIA TIBURTINA 113,41.898607,12.514511,"lun mer ven 16.00 – 19.00, sab 10.00 – 13.00 ",villamercede@bibliotechediroma.it,06.45460633,,,
5,MUNICIPIO ROMA III,MUNICIPIO,III,VIA UMBERTO FRACCHIA 45,41.95269,12.55054,lun mer ven 8.30 – 12.30, ld.mun03@comune.roma.it,06.69604980,1° (7/2),,ATTIVO
6,CENTRO ANZIANI VALLI / CONCA D'ORO,CENTRO ANZIANI,III,VIA VAL D'ALA – PARCO DELLE VALLI,41.94225,12.516818,"lun - ven 10.30 – 12.00, sab 11.00 – 13.00, dom 10.30 – 12.30", csa.valliconcadoro@hotmail.com,06.8121574,,,ATTIVO
7,BIBLIOTECA VACCHERIA NARDI,BIBLIOTECA,IV,VIA GROTTA DI GREGNA 37,41.90193,12.56689,"lun 15.00 – 19.00, mer ven 10.00 – 14.00", vaccherianardi@bibliotechediroma.it,06.45460491,,,
8,MUNICIPIO ROMA IV,MUNICIPIO,IV,VIA TIBURTINA 1163,41.93311,12.59853,"lun merc ven 10.00 – 13.00, giov ven 14.00 – 17.00",ld.mun04@comune.roma.it,,,,
9,MUNICIPIO ROMA V,MUNICIPIO,V,VIA PRENESTINA 510,41.89449,12.57414,"mar mer 10.00 – 12.00, gio 14.00 – 16.00",ld.mun05@comune.roma.it,06.69607332/3,2° (9/3),,svolto il sopralluogo tecnico il 13 Marzo e compiuta la riconfigurazione dell’access point presso il PRoF
10,MUNICIPIO ROMA V,MUNICIPIO,V,VIA TORRE ANNUNZIATA 1,41.89093,12.549191,lun mar ven 10.00 – 12.00,ld.mun05@comune.roma.it,06.69606455,2° (9/3),,svolto sopralluogo 16 marzo OK
11,BIBLIOTECA GIANNI RODARI,BIBLIOTECA,V,VIA FRANCESCO TOVAGLIERI 237a,41.88165,12.59092,"lun gio 15.00 – 19.00, ven 10.00 – 14.00",giannirodari@bibliotechediroma.it,06.45460571/3,,,
12,MUNICIPIO ROMA VI,MUNICIPIO,VI,VIALE DUILIO CAMBELLOTTI 11,41.8697,12.63298,lun - ven 9.00 – 12.30,ld.mun06@comune.roma.it,06.69608612,"1° (7/2)
2° (20/3)",,ATTIVO
13,MUNICIPIO ROMA VII,MUNICIPIO,VII,VIA TOMMASO FORTIFIOCCA 71,41.870501,12.522916,"lun mer 9.00 – 12.00,  mar 14.30 – 16.30, gio 9.00 – 12.00, 14.00 – 16.00",ld.mun07@comune.roma.it,06.69609333,,,wifi ok
14,BIBLIOTECA NELSON MANDELA,BIBLIOTECA,VII,VIA LA SPEZIA 21,41.88592,‘12.51183,lun mer 9.30 – 13.30,nelsonmandela@bibliotechedi roma.it,06.45460341/3,,,
15,BIBLIOTECA RAFFAELLO,BIBLIOTECA,VII,VIA TUSCOLANA 1111,‘41.86464,‘12.54391,"lun 14.30 – 18.30, mer ven 9.30 – 13.30", raffaello@bibliotechediroma.it,06.45460551,,,
16,FONDAZIONE MONDO DIGITALE,FONDAZIONE,VII,VIA DEL QUADRARO 102,41.85985,‘12.55429,"lun - ven 10.00 – 12.00, 16.00 – 18.00", info@mondodigitale.org www.mondodigitale.org,06.42014109,1° (7/2),,ATTIVO
17,MUNICIPIO ROMA VIII,MUNICIPIO,VIII,VIA BENEDETTO CROCE 50,41.84144,12.48401,"lun 8.30 - 12.30, mar 8.30 - 10.30, 14.30 - 16.30, gio 8.30 - 10.30, 14.30 - 16.30",ld.mun08@comune.roma.it,06.69611333,1° (7/2),,ATTIVO
18,MUNICIPIO ROMA IX,MUNICIPIO,IX,VIALE  IGNAZIO SILONE I°PONTE,41.81305,12.47556,"lun 8.30 - 10.30, 14.30 - 16.30, merc 10.30 - 12.30",redazioneweb09@comune.roma.it,06.69612370,,,
19,MUNICIPIO ROMA X,MUNICIPIO,X,"VIA ANGELO CELLI, 2",41.73032,12.28054,"mar 9.00 – 11.00, 15.00 – 16.00, mer 9.00 – 11.00, 14.30 – 16.30, gio 9.00 – 11.00, 15.00 - 16.00
",ld.mun10@comune.roma.it,06.69613333 – 06.5622701,,,
20,MUNICIPIO ROMA XI,MUNICIPIO,XI,VIA CAMILLO MONTALCINI 1,41.84950,12.45243,"lun 9.00 – 12.00, mar 9.00 – 12.00, 14.00 – 16.00, mer 9.00 – 12.00, gio 14.00 – 16.00",ld.mun11@comune.roma.it ,06.69615333,1° (7/2),,ATTIVO
21,MUNICIPIO ROMA XII,MUNICIPIO,XII,VIA FABIOLA 14,41.87584,12.44981,"mar 12.00 – 16.00, gio 8.30 – 16.30",antonella.conte@comune.roma.it onofrio.castellucci@comune.roma.it,06.69616200,2° (9/3),,ATTIVO
22,MUNICIPIO ROMA XIII,MUNICIPIO,XIII,VIA AURELIA 470,41.899278,12.443634,"lun gio 9.30 – 13.30, mar 13.30 -17.30",ld.mun13@comune.roma.it,06.69618438/313/333/334,1° (7/2),Punto abilitato per accoglienza multilingue e non vedenti,ATTIVO
23,MUNICIPIO ROMA XIV,MUNICIPIO,XIV,PIAZZA S. MARIA DELLA PIETA' 5,41.94092,12.4194,"lun mer 10.00 – 12.00, mar gio 10.00 – 12.00, 14.00 – 16.00",ld.mun14@comune.roma.it,06.69619333/334/632,2° (9/3),,sopralluogo  ok
