Municipio;Denominazione Mercato;Indirizzo;Tipologia;n° Posteggi
1; BOCCA DI LEONE; VIA BOCCA DI LEONE  ;SCOPERTO;
1;CAMPO MARZIO I;  PIAZZA DELLE COPPELLE ;SCOPERTO;
1;CASTRO PRETORIO;  VIA MILAZZO ;SCOPERTO;
1;CELIO;   VIA SS. QUATTRO ;SCOPERTO;
1; MACAO; VIA MONTEBELLO  ;SCOPERTO;
1; REGOLA I; PIAZZA CAMPO DE' FIORI ;SCOPERTO;
1;REGOLA II;  VIA DELLA PACE ;SCOPERTO;
1; S. SABA; PIAZZA G. B. BERNINI ;SCOPERTO;
1;SANTA LUCIA;  VICOLO DELLA MORETTA ;SCOPERTO;
1;SOMMEILLER;  VIA G. SOMMEILLER ;SCOPERTO;
1; TRASTEVERE; PIAZZA S. COSIMATO ;SCOPERTO;
1; TREVI; VIA DEL LAVATORE ;SCOPERTO;
1;VIMINALE;  VIA CESARE BALBO ;SCOPERTO;
1; TITO SPERI; VIA TITO SPERI ;SCOPERTO;
2; CRATI; PIAZZA CRATI ;SCOPERTO;
2;SALARIO;  VIA METAURO ;SCOPERTO;
2;VESCOVIO;  VIA FARA SABINA ;SCOPERTO;
2; PORTONACCIO I; PIAZZA DEI VESPRI SICILIANI ;SCOPERTO;
2; STEVENSON; VIA BARTOLOMEO MARLIANO ;SCOPERTO;
2;TIBURTINO I;  LARGO DEGLI OSCI ;SCOPERTO;
3;FIDENE;  PIAZZA S.FELICITA ;SCOPERTO;
3; MONTESACRO II; PIAZZA MENENIO AGRIPPA ;SCOPERTO;
3;VAL D'OSSOLA;  VIA VAL D'OSSOLA ;SCOPERTO;
4;CASALBERTONE;  VIA RICOTTI ;SCOPERTO;
4; INA CASA ;VIA DEI CRISPOLTI ;SCOPERTO;
4; REBIBBIA ;VIA SCANAROLI ;SCOPERTO;
4; TIBURTINO II; VIA STEFANINI ;SCOPERTO;
5; CASILINO ;VIA DEL PIGNETO ;SCOPERTO;
5; PERESTRELLO ;LARGO B. PERESTRELLO ;SCOPERTO;
5; QUARTICCIOLO; VIA LOCOROTONDO ;SCOPERTO;
5; GRANO; VIA DEL GRANO ;SCOPERTO;
5; MELI ;VIA DEI MELI ;SCOPERTO;
6;TORRE MAURA;  PIAZZA ALCIONI ;SCOPERTO;
7; APPIO I ;VIA G. CAPPONI ;SCOPERTO;
7; APPIO III ;PIAZZA DEI CASTELLI ROMANI ;SCOPERTO;
7; LATINO NUOVO; LARGO GREGOROVIUS ;SCOPERTO;
7; RAGUSA; VIA VERBANIA ;SCOPERTO;
7; SANNIO*; VIA SANNIO ;SCOPERTO;
7; TUSCOLANO I; VIA ORVIETO ;SCOPERTO;
7; QUADRARO; PIAZZA DEI TRIBUNI ;SCOPERTO;
7; STATUARIO; VIA POLIA ;SCOPERTO;
8; NAVIGATORI ;PIAZZA DEI NAVIGATORI ;SCOPERTO;
8; TORMARANCIO II ;VIA TOMMASO ODESCALCHI ;SCOPERTO;
8; TORMARANCIO I ;VIA R. RAIMONDI GARIBALDI ;SCOPERTO;
8; GARBATELLA ;CIRCONVALLAZIONE OSTIENSE ;SCOPERTO;
9; DECIMA; VIA SANSOTTA ;SCOPERTO;
11; CASETTA MATTEI ;VIA LA CONTEA ;SCOPERTO;
11; FERMI ;VIA D. MACALUSO ;SCOPERTO;
11; MONTECUCCO; VIA G. PORZIO ;SCOPERTO;
11; PORTUENSE II; VIA PORTUENSE ;SCOPERTO;
11; PORTUENSE III ;VIA DEGLI IRLANDESI ;SCOPERTO;
12; BRAVETTA ;PIAZZA DEI VISCONTI SNC;SCOPERTO;
12; DONNA OLIMPIA; VIA DI DONNA OLIMPIA SNC;SCOPERTO;
12; GIANICOLENSE; PIAZZA S.GIOVANNI DI DIO ;SCOPERTO;
12; MONREALE ;VIA L. DI MONREALE ;SCOPERTO;
12; MONTEVERDE VECCHIO; VIA G. B. NICCOLINI ;SCOPERTO;
12; PORTUENSE I;LGT. DEGLI ARTIGIANI (Trasf. Temporaneo);SCOPERTO;
12; VASCELLO; LARGO MICELI ;SCOPERTO;
13;AURELIO ; PIAZZA S.SILVERIO ;SCOPERTO;
13; PINETA SACCHETTI; VIA URBANO II° SNC;SCOPERTO;
13; SISTO IV ;VIA SISTO IV SNC;SCOPERTO;
14; MONTE MARIO; PIAZZA THOUAR ;SCOPERTO;
14; TORREVECCHIA; VIA SCIAMANNA ;SCOPERTO;
14; VEGEZIO; VIA VEGEZIO ;SCOPERTO;
15; FLAMINIO NUOVO ;VIA TUSCIA ;SCOPERTO;
15; TOR DI QUINTO ;VIA MONTELEONE DA SPOLETO ;SCOPERTO;
;;;;
