MUN,Prot. AMA caditoie,AREA,A.E.T.,ZONA,"VIA, PIAZZA etc.",TRATTA,"Metri
[*2]","ORARIO DI SERVIZIO PERIODO 
B","ORARIO DI SERVIZIO PERIODO 
A","ORARIO DI SERVIZIO PERIODO 
C","FREQUENZA 
B","FREQUENZA 
A","IDENTIFICATIVO SQUADRE PERIODO 
B","IDENTIFICATIVO SQUADRE PERIODO 
A",1/11/17,2/11/17,3/11/17,4/11/17,5/11/17,6/11/17,7/11/17,8/11/17,9/11/17,10/11/17,11/11/17,12/11/17,13/11/17,14/11/17,15/11/17,16/11/17,17/11/17,18/11/17,19/11/17,20/11/2017 - inizio B,21/11,22/11,23/11,24/11,25/11,26/11,27/11,28/11,29/11,30/11,1/12,2/12,3/12,4/12,5/12,6/12,7/12,8/12,9/12,10/12,11/12/2017 - inizio A,12/12,13/12,14/12,15/12,16/12,17/12,18/12,19/12,20/12,21/12,22/12,23/12,24/12,25/12,26/12,27/12,28/12,29/12,30/12,31/12,1/1,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/1,"10/01/2018
inizio B",11/1,12/1,13/1,14/1,15/1,16/1,17/1,18/1,19/1,20/1,21/1,22/1,23/1,24/1,25/1,26/1,27/1,28/1,29/1,30/1,31/1
I,,T.P.,A01BB,01B,PIAZZA ALBINA,,422,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,PIAZZA DEI SERVILI,,232,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,PIAZZA DI S. ANSELMO,,252,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,PIAZZA GIAN LORENZO BERNINI,,1000,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,PIAZZA REMURIA,,300,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA ANNIA FAUSTINA,,772,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA AVENTINA,,450,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA DI PORTA LAVERNALE,,682,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA DI S. ALESSIO,,682,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA DI S. ANSELMO,,914,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA DI S. DOMENICO,,500,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA DI S. MELANIA,,626,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA FLAMINIO PONZIO,,232,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
I,,T.P.,A01BB,01B,VIA LEON BATTISTA ALBERTI,,230,,,,B2,A2,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,,,,X,,,,,,,X,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,
