Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3579916;7;01/12/2017 10:15;Strada Urbana;VIA CARLO FADDA;all'intersezione con;VIALE PALMIRO TOGLIATTI;VIALE PALMIRO TOGLIATTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Liberati;(ignoto);Conducente;1946;M;Rimandato;0;NON DECEDUTO;Esente;
3582841;6;03/12/2017 21:40;Strada Urbana;VIALE DELLA PRIMAVERA;all'intersezione con;VIA OBERDAN PETRINI;VIA OBERDAN PETRINI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;1;0;0;1;12,55858;41,8779;-1;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1992;M;Rimandato;0;NON DECEDUTO;Esente;
3584517;8;04/12/2017 11:00;Strada Urbana;VIALE GUIDO CARLI;da specificare;;;;ingresso orto botanico dir. PTV;Tamponamento Multiplo;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Ore Diurne;1;0;0;1;12,64704;41,84318;0;2;Velocipede;In marcia / fermata / arresto;SCOTT;(ignoto);Conducente;1945;M;Rimandato;0;NON DECEDUTO;Esente;
3587996;6;06/12/2017 20:00;Strada Urbana;VIA DI TOR PIGNATTARA;in corrispondenza;;del civico n.;21;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;1;12,54214;41,87962;-1;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1987;F;Rimandato;0;NON DECEDUTO;Esente;
3588269;2;06/12/2017 10:15;;VIALE DELLA MOSCHEA;in prossimità;;del palo luce n.;86;;Infortunio per sola frenata improvvisa;;;;;;;;;;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;Bianchi;City Byke;Conducente;1952;M;Illeso;0;;Esente;
3590776;8;08/12/2017 09:45;;VIALE GUIDO CARLI;all'intersezione con;VIA DEL FOSSO DEL CAVALIERE;VIA DEL FOSSO DEL CAVALIERE;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Bortolotto;(non accertato);Conducente;1939;M;Ricoverato;0;NON DECEDUTO;Esente;
3593617;16;08/12/2017 19:05;;VIA VITELLIA;in corrispondenza;;del civico n.;73;;Veicolo in marcia contro veicolo fermo;;;;;;;;;;0;0;0;3;;;0;3;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;0;M;Illeso;0;;Esente;
3594372;13;11/12/2017 10:00;;VIA ARISTIDE CARABELLI;all'intersezione con;VIA CORRADO DEL GRECO;VIA CORRADO DEL GRECO;;;Investimento di pedone;;;;;;;;;;0;0;0;2;12,26853;41,73861;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(ignoto);Conducente;1927;M;Illeso;0;;Esente;
3596616;7;12/12/2017 20:00;;VIA ANGELO VISCOGLIOSI;da specificare;;;;palo luce 26;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;RockRider;(ignoto);Conducente;0;M;Illeso;0;;Esente;
3610962;4;21/12/2017 10:40;;VIA GIOVANNI CONTI;da specificare;;;;altezza fermata ATAC Conti-De Curtis n.78888;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;12,53208;41,95527;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1974;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3612231;1;22/12/2017 14:45;Strada Urbana;VIA DEL CORSO;in corrispondenza;;del civico n.;234;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;BTWIN;(ignoto);Conducente;1998;M;Rimandato;0;NON DECEDUTO;Esente;
3612389;17;22/12/2017 10:40;Strada Urbana;VIALE DEI BASTIONI DI MICHELANGELO;da specificare;;;;FRONTE CIVICO 13;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;2;12,45588;41,90641;0;2;Velocipede;In marcia / fermata / arresto;Bianchi;(ignoto);Conducente;1942;M;Rimandato;0;NON DECEDUTO;Esente;
3613991;23;24/12/2017 16:20;;VIA CRISTOFORO COLOMBO;in corrispondenza;;della chilometrica;19.3;;Tamponamento;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Cube;(ignoto);Conducente;1964;M;Ricoverato;0;NON DECEDUTO;Esente;
3615914;19;26/12/2017 20:35;;VIA DI TORREVECCHIA;all'intersezione con;VIA FINALE LIGURE;VIA FINALE LIGURE;;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);da corsa;Conducente;1935;M;Rimandato;0;NON DECEDUTO;Esente;
