Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3623581;20;02/01/2018 13:45;Strada Urbana;LUNGOTEVERE DELLA VITTORIA;da specificare;;;;fronte civ. 13 (su pista ciclabile);Ribaltamento senza urto contro ostacolo fisso;Rettilineo;Una carreggiata a doppio senso;Asciutto;In conglomerato cementizio;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;0;12,46206;41,92258;-1;1;Velocipede;In marcia / fermata / arresto;Faram;(non accertato);Conducente;1971;M;Rimandato;0;NON DECEDUTO;Esente;
3626239;9;04/01/2018 18:30;Strada Urbana;VIA TUSCOLANA;in corrispondenza;;del civico n.;199/B;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;1;0;1;12,52206;41,87941;0;1;Velocipede;In marcia / fermata / arresto;B Twin;(non accertato);Conducente;1981;M;Illeso;0;;Esente;
3629929;1;08/01/2018 11:30;Strada Urbana;VIA DI PORTA S. SEBASTIANO;da specificare;;;;FERMATA ATAC N.81210;Infortunio per sola frenata improvvisa;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,4996;41,87672;-1;1;Velocipede;In marcia / fermata / arresto;Adriatica;(non accertato);Conducente;1953;M;Illeso;0;;Esente;
3631118;9;09/01/2018 10:00;Strada Urbana;PIAZZALE LABICANO;da specificare;;;;fine via prenestina termine ponte ferroviario;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Atala;City Bike;Conducente;1950;F;Rimandato;0;NON DECEDUTO;Esente;
3634848;18;11/01/2018 06:30;Strada Urbana;VIA FRANCESCO SCADUTO;all'intersezione con;VIA GRAZIANO;VIA GRAZIANO;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Normale;Sufficiente;Sufficiente;1;0;0;1;12,4319;41,90087;-1;2;Velocipede;In marcia / fermata / arresto;Caravel;tipo uomo;Conducente;1997;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3635414;13;11/01/2018 14:00;;VIA ESCHILO;in prossimità;;del civico n.;191;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);tipo donna;Conducente;1996;F;Rimandato;0;NON DECEDUTO;Esente;
3637174;1;12/01/2018 19:55;Strada Urbana;PIAZZA VITTORIO EMANUELE II;all'intersezione con;VIA MAMIANI;VIA MAMIANI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;1;0;0;1;12,50484;41,89512;0;2;Velocipede;In marcia / fermata / arresto;Wilier;triestina;Conducente;1984;M;Rimandato;0;NON DECEDUTO;Esente;
3638320;17;13/01/2018 12:00;Strada Urbana;VIA CICERONE;in corrispondenza;;del civico n.;55;;Veicoli in marcia contro veicolo fermo;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,46844;41,90755;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Passeggero;1952;M;Rimandato;0;NON DECEDUTO;Esente;
3638991;17;14/01/2018 15:00;Strada Urbana;VIA DELLA TRASPONTINA;all'intersezione con;BORGO S. ANGELO;BORGO S. ANGELO;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a senso unico di marcia;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12,46308;41,90331;0;3;Velocipede;In marcia / fermata / arresto;(non accertato);da corsa;Conducente;1969;M;Illeso;0;;Esente;
3639056;10;14/01/2018 19:38;;VIA ANAGNINA;in corrispondenza;;del civico n.;395;;Tamponamento;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;pininfarina;(non accertato);Conducente;1982;M;Rimandato;0;NON DECEDUTO;Esente;
3640788;3;15/01/2018 20:17;;VIA TIBURTINA;da specificare;;;;ponte di portonaccio;Tamponamento;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Bianchi;Spillo;Conducente;0;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3644047;8;17/01/2018 20:00;;VIA CASILINA;in corrispondenza;;del palo luce n.;466;;Tamponamento;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;RockRider;(non accertato);Conducente;1975;M;Ricoverato;0;NON DECEDUTO;Esente;
3644122;5;17/01/2018 17:40;;VIA DI GROTTA DI GREGNA;all'intersezione con;VIA COLLATINA VECCHIA;VIA COLLATINA VECCHIA;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;0;0;0;2;12,56711;41,90179;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;0;M;Illeso;0;;Esente;
3645675;1;18/01/2018 13:00;Strada Urbana;VIA DEI FORI IMPERIALI;da specificare;;;;in corrispondenza FORO TRAIANO;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;2;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1994;F;Rimandato;0;NON DECEDUTO;Esente;
