Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3378637;8;02/07/2017 18:50;;VIA ERCOLE MARELLI;all'intersezione con;VIA DEL TORRACCIO;VIA DEL TORRACCIO;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;Shimano;Rocky Bike;Conducente;1993;F;Rimandato;0;NON DECEDUTO;Esente;
3381556;13;04/07/2017 18:00;Strada Urbana;VIA DEI TRAGHETTI;all'intersezione con;VIA DEI VELIERI;VIA DEI VELIERI;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,27591;41,73688;-1;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1963;M;Rimandato;0;NON DECEDUTO;Esente;
3383538;2;05/07/2017 12:20;;VIALE DEI CAVALLI MARINI;da specificare;;;;altezza VIA ANTONINO E FAUSTINA;Veicolo in marcia contro veicolo fermo;;;;;;;;;;0;0;0;4;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1969;M;Illeso;0;;Esente;
3383538;2;05/07/2017 12:20;;VIALE DEI CAVALLI MARINI;da specificare;;;;altezza VIA ANTONINO E FAUSTINA;Veicolo in marcia contro veicolo fermo;;;;;;;;;;0;0;0;4;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;1971;M;Illeso;0;;Esente;
3383538;2;05/07/2017 12:20;;VIALE DEI CAVALLI MARINI;da specificare;;;;altezza VIA ANTONINO E FAUSTINA;Veicolo in marcia contro veicolo fermo;;;;;;;;;;0;0;0;4;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;2003;M;Illeso;0;;Esente;
3383538;2;05/07/2017 12:20;;VIALE DEI CAVALLI MARINI;da specificare;;;;altezza VIA ANTONINO E FAUSTINA;Veicolo in marcia contro veicolo fermo;;;;;;;;;;0;0;0;4;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;2005;M;Illeso;0;;Esente;
3383587;7;06/07/2017 09:40;Strada Urbana;VIALE PALMIRO TOGLIATTI;in prossimità;;del civico n.;1284;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;MBM;(non accertato);Conducente;1966;M;Rimandato;0;NON DECEDUTO;Esente;
3384155;12;03/07/2017 20:00;;VIA GIORGIO BONELLI;da specificare;;;;ROTATORIA LARGO JACOVITTI ;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;.DA UOMO;(ignoto);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3384589;11;07/07/2017 00:05;Strada Urbana;VIA PORTUENSE;all'intersezione semaforizzata con;PIAZZALE PORTUENSE;PIAZZALE PORTUENSE;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;1;12,47383;41,88378;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;2011;M;Illeso;0;;Esente;
3385106;1;06/07/2017 14:00;Strada Urbana;VIA BARBERINI;in prossimità;;del civico n.;12;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;12,48969;41,90383;-1;1;Velocipede;In marcia / fermata / arresto;lazzaretti;(non accertato);Conducente;1962;M;Rimandato;0;NON DECEDUTO;Esente;
