Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3485979;18;01/10/2017 20:40;Strada Urbana;VIA DELLE FORNACI;in prossimità;;del civico n.;161;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;3;12,45726;41,89564;0;1;Velocipede;In marcia / fermata / arresto;Giant;(ignoto);Conducente;1983;M;Illeso;0;;Esente;
3490507;19;04/10/2017 09:00;Strada Urbana;VIA TARSIA;all'intersezione con;VIA MAESTRE PIE FILIPPINI;VIA MAESTRE PIE FILIPPINI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;2;0;0;0;12,40607;41,96095;-1;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1989;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3490507;19;04/10/2017 09:00;Strada Urbana;VIA TARSIA;all'intersezione con;VIA MAESTRE PIE FILIPPINI;VIA MAESTRE PIE FILIPPINI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;2;0;0;0;12,40607;41,96095;-1;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;2013;M;Rimandato;0;NON DECEDUTO;Esente;
3492755;10;05/10/2017 20:35;;VIA DELLE CAPANNELLE;da specificare;;;;F.C. 221;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1951;M;Rimandato;0;NON DECEDUTO;Esente;
3496966;19;07/10/2017 19:30;Strada Urbana;VIA DELLA VALLE DEI FONTANILI;all'intersezione con;VIA GIUSEPPE GUICCIARDI;VIA GIUSEPPE GUICCIARDI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;1;12,40946;41,92364;0;2;Velocipede;In marcia / fermata / arresto;Shimano;(ignoto);Conducente;1985;M;Rimandato;0;NON DECEDUTO;Esente;
3497434;6;09/10/2017 09:15;;CIRCONVALLAZIONE CASILINA;all'intersezione semaforizzata con;VIA DEL PIGNETO;VIA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;;;;;;;;;;2;0;0;0;;;0;2;Velocipede;In marcia / fermata / arresto;SCOTT;(ignoto);Conducente;1981;F;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3497819;1;08/10/2017 13:20;Strada Urbana;PIAZZALE UGO LA MALFA;in prossimità;;del palo luce n.;8;;Tamponamento;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;Willer;(non accertato);Conducente;1946;M;Illeso;0;;Esente;
3498759;6;10/10/2017 07:15;Strada Urbana;VIA DEL PIGNETO;all'intersezione con;PIAZZA DEI CONDOTTIERI;PIAZZA DEI CONDOTTIERI;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,53468;41,887;0;2;Velocipede;In marcia / fermata / arresto;Liberati;(ignoto);Conducente;1966;M;Ricoverato;0;NON DECEDUTO;Esente;
3500565;1;10/10/2017 14:20;Strada Urbana;LARGO MANLIO GELSOMINI;all'intersezione con;VIALE MANLIO GELSOMINI;VIALE MANLIO GELSOMINI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,47944;41,87881;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1993;M;Rimandato;0;NON DECEDUTO;Esente;
3502592;3;11/10/2017 17:10;;VIA DI PORTONACCIO;da specificare;;;;dir centro 50mt circa prima di via masaniello;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1960;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
