Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3445326;1;04/09/2017 10:20;Strada Urbana;VIA ELENIANA;in corrispondenza;;del civico n.;2 B;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1970;F;Rimandato;0;NON DECEDUTO;Esente;
3447977;3;05/09/2017 20:50;Strada Urbana;VIA LIVORNO;all'intersezione con;VIA GIUSEPPE PITRE';VIA GIUSEPPE PITRE';;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;3;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Atala;(ignoto);Conducente;1985;M;Rimandato;0;NON DECEDUTO;Esente;
3448967;1;06/09/2017 17:45;Strada Urbana;LUNGOTEVERE DE' CENCI;in prossimità;;del palo luce n.;11;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;;;0;2;Velocipede;In marcia / fermata / arresto;Cube;(non accertato);Conducente;1972;M;Illeso;0;;Esente;
3449770;11;07/09/2017 15:30;Strada Urbana;VIA OSTIENSE;in prossimità;;del civico n.;40A;;Ribaltamento senza urto contro ostacolo fisso;Sottopasso illuminato;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;12,48016;41,8732;0;1;Velocipede;In marcia / fermata / arresto;Collalti;(ignoto);Conducente;1950;M;Rimandato;0;NON DECEDUTO;Esente;
3450628;1;07/09/2017 16:30;Strada Urbana;PIAZZALE NUMA POMPILIO;all'intersezione semaforizzata con;VIALE DELLE TERME DI CARACALLA;VIALE DELLE TERME DI CARACALLA;;;Tamponamento Multiplo;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;3;;;0;3;Velocipede;In marcia / fermata / arresto;SCOTT;(non accertato);Conducente;1939;M;Rimandato;0;NON DECEDUTO;Esente;
3454623;4;09/09/2017 09:30;Strada Urbana;VIA DELLA CECCHINA;da specificare;;;;altezza svincolo per via F. Sacchetti;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;12,54215;41,94759;0;2;Velocipede;In marcia / fermata / arresto;RockRider;(ignoto);Conducente;1960;M;Ricoverato;0;NON DECEDUTO;Esente;
3456775;7;12/09/2017 17:10;Strada Urbana;VIA DAVIDE CAMPARI;da specificare;;;;PONTE ADIACENTE VIA BARBISIO;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,58851;41,88574;-1;2;Velocipede;In marcia / fermata / arresto;(non accertato);Mountain Bike;Conducente;1958;M;Rimandato;0;NON DECEDUTO;Esente;
3458018;23;12/09/2017 08:47;Strada Urbana;VIA ERMANNO WOLF FERRARI;in corrispondenza;;del civico n.;350;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12,37089;41,75407;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1987;M;Illeso;0;;Esente;
3458360;23;12/09/2017 10:10;Strada Urbana;VIA ESCHILO;in prossimità;;del civico n.;58;;Infortunio per caduta del veicolo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;0;12,37157;41,76462;-1;1;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;2000;M;Rimandato;0;NON DECEDUTO;Esente;
3458957;10;13/09/2017 19:00;;VIA APPIA NUOVA;in prossimità;;del civico n.;1009;;Scontro frontale/laterale DX fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1979;M;Illeso;0;;Esente;
