Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3167553;13;07/02/2017 08:00;Strada Urbana;VIA DI CASAL PALOCCO;all'intersezione con;VIALE PRASSILLA;VIALE PRASSILLA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;4;12,35328;41,74934;-1;2;Velocipede;In marcia / fermata / arresto;Record;(ignoto);Conducente;1982;F;Ricoverato;0;NON DECEDUTO;Esente;
3167567;13;07/02/2017 14:00;Provinciale entro l'abitato;VIA LITORANEA;da specificare;;;;altezza V cancello;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;1;0;0;12,37354;41,68762;0;1;Velocipede;In marcia / fermata / arresto;Specialized;(non accertato);Conducente;1962;M;Prognosi riservata;0;NON DECEDUTO;Esente;
3168695;9;08/02/2017 08:25;;VIA TUSCOLANA;da specificare;;;;fronte altezza civico 555;Infortunio per sola frenata improvvisa;;;;;;;;;;1;0;0;1;12,54284;41,86472;0;2;Velocipede;In marcia / fermata / arresto;Specialized;Hard Rock;Conducente;1968;M;Illeso;0;;Esente;
3179724;2;15/02/2017 09:30;Strada Urbana;VIA PIETRO DE COUBERTIN;all'intersezione con;VIA SVIZZERA;VIA SVIZZERA;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,47168;41,93006;-1;2;Velocipede;In marcia / fermata / arresto;Rizzato e C. Spa;(ignoto);Conducente;1978;M;Rimandato;0;NON DECEDUTO;Esente;
3181522;13;15/02/2017 10:30;Strada Urbana;PIAZZALE CRISTOFORO COLOMBO;da specificare;;;;PROX  DISTRIBUTORE BENZINA DIR. OSTIA;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,32011;43,15759;-1;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1935;M;Rimandato;0;NON DECEDUTO;Esente;
3183094;12;18/02/2017 13:30;Strada Urbana;VIALE DELL'UMANESIMO;all'intersezione con;VIALE OCEANIA;VIALE OCEANIA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;12,46363;41,82839;-1;1;Velocipede;In marcia / fermata / arresto;Maestri;(ignoto);Conducente;1962;M;Illeso;0;;Esente;
3185513;17;20/02/2017 11:00;Strada Urbana;VIALE DELLE MILIZIE;all'intersezione con;VIA OTRANTO;VIA OTRANTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;2;12,4619;41,9122;0;2;Velocipede;In marcia / fermata / arresto;Bianchi;(ignoto);Conducente;1969;M;Rimandato;0;NON DECEDUTO;Esente;
3185709;16;19/02/2017 20:35;;PIAZZA ANTONIO MEUCCI;in prossimità;;del civico n.;fc 1 ;;Veicolo in marcia contro ostacolo fisso;;;;;;;;;;0;0;0;1;12,45595;41,93407;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(ignoto);Conducente;0;M;Illeso;0;;Esente;
3191204;18;23/02/2017 14:15;Strada Urbana;VIA MATTIA BATTISTINI;da specificare;;;;FRONTE 23;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,41843;41,91391;0;2;Velocipede;In marcia / fermata / arresto;Galant;(non accertato);Conducente;1988;F;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3192297;1;24/02/2017 13:25;Strada Urbana;PIAZZA DI S. MACUTO;in corrispondenza;;del civico n.;58;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Acciotolata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;1;0;0;1;12,47921;41,89899;-1;2;Velocipede;In marcia / fermata / arresto;(non accertato);28 tipo uomo;Conducente;1980;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3195586;1;27/02/2017 07:45;Strada Urbana;VIA GIOBERTI;all'intersezione con;VIA GIOVANNI AMENDOLA;VIA GIOVANNI AMENDOLA;;;Veicolo in marcia contro ostacolo fisso;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;MBK;(ignoto);Conducente;1965;M;Rimandato;0;NON DECEDUTO;Esente;
