Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3416694;4;01/08/2017 23:30;;VIA SALARIA;da specificare;;;;fronte civico 983;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;12,51164;41,98766;0;2;Velocipede;In marcia / fermata / arresto;Atala;(ignoto);Conducente;1971;M;Illeso;0;;Esente;
3417199;7;02/08/2017 18:05;Strada Urbana;VIA DI TOR CERVARA;in corrispondenza;;del civico n.;285;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;12,58872;41,90815;0;2;Velocipede;In marcia / fermata / arresto;Carnielli;(ignoto);Conducente;1959;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3418751;2;03/08/2017;;VIA SALARIA;da specificare;;;;km. 17.900;Scontro frontale fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Sconosciuto;(ignoto);Conducente;1964;M;Rimandato;0;NON DECEDUTO;Esente;
3418885;1;04/08/2017 08:30;Strada Urbana;PIAZZA DEL COLOSSEO;all'intersezione semaforizzata con;VIA LABICANA;VIA LABICANA;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;decathlon;(ignoto);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3419636;2;05/08/2017 12:30;;VIALE DEL GIARDINO ZOOLOGICO;da specificare;;;;alt. p.le Pablo Picasso;Ribaltamento senza urto contro ostacolo fisso;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1996;F;Rimandato;0;NON DECEDUTO;Esente;
3419636;2;05/08/2017 12:30;;VIALE DEL GIARDINO ZOOLOGICO;da specificare;;;;alt. p.le Pablo Picasso;Ribaltamento senza urto contro ostacolo fisso;;;;;;;;;;1;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Passeggero;1993;M;Illeso;0;;Esente;
3421965;17;07/08/2017 11:00;Strada Urbana;PIAZZA MONTE GRAPPA;da specificare;;;;fronte Via Prestinari;Scontro laterale fra veicoli in marcia;Rettilineo;;;;;;;;;1;0;0;1;12,46932;41,91871;0;2;Velocipede;In marcia / fermata / arresto;Velomarche;(non accertato);Conducente;1966;M;Illeso;0;;Esente;
3422659;10;08/08/2017 15:50;Strada Urbana;VIA OTELLO STEFANINI;da specificare;;;;altezza ingresso capolinea cotral;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Ore Diurne;1;0;0;2;12,5848;41,84428;0;2;Velocipede;In marcia / fermata / arresto;BMC;Team Machine SLR01;Conducente;1970;M;Rimandato;0;NON DECEDUTO;Esente;
3423832;6;10/08/2017 09:20;Strada Urbana;VIALE DELLA VENEZIA GIULIA;in prossimità;;del civico n.;81;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,55624;41,89639;-1;2;Velocipede;In marcia / fermata / arresto;B-FOLD;(non accertato);Conducente;1987;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3424703;8;10/08/2017 12:27;;VIA DI LUNGHEZZINA;da specificare;;;;CIRCA 1200 MT PRIMA DI VIA POLENSE;Scontro frontale fra veicoli in marcia;;;;;;;;;;3;0;0;0;12,72164;41,917;0;3;Velocipede;In marcia / fermata / arresto;Viner;(non accertato);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3425172;13;11/08/2017 15:10;Strada Urbana;VIA DELLE QUINQUEREMI;in corrispondenza;;del civico n.;61;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Ore Diurne;0;0;0;3;12,29771;41,7227;0;2;Velocipede;In marcia / fermata / arresto;DIAMOND;(non accertato);Conducente;1973;M;Illeso;0;;Esente;
3425776;1;12/08/2017 07:45;Strada Urbana;LUNGOTEVERE IN AUGUSTA;in prossimità;;del palo luce n.;4;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1966;M;Rimandato;0;NON DECEDUTO;Esente;
3427884;4;14/08/2017 08:45;;VIALE TITINA DE FILIPPO;da specificare;;;;pross. rotatoria l.go F. LABIA;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;12,51649;41,9667;0;2;Velocipede;In marcia / fermata / arresto;Shadow;4000;Conducente;1976;M;Rimandato;0;NON DECEDUTO;Esente;
3429197;15;17/08/2017 12:00;;VIA DELLA MAGLIANA;da specificare;;;;fronte civico 72A;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Collalti;(non accertato);Conducente;1974;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3433343;13;22/08/2017 10:30;Strada Urbana;VIALE DI CASTEL PORZIANO;in corrispondenza;;del civico n.;264;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Normale;Buona;Ore Diurne;1;0;0;0;12,34022;41,72718;0;1;Velocipede;In marcia / fermata / arresto;Atala;(non accertato);Conducente;1941;M;Rimandato;0;NON DECEDUTO;Esente;
3433606;10;23/08/2017 12:10;Strada Urbana;VIA APPIA NUOVA;da specificare;;;;dir. centro prossimità km 15,300;Tamponamento Multiplo;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;2;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1953;M;Rimandato;0;NON DECEDUTO;Esente;
3433606;10;23/08/2017 12:10;Strada Urbana;VIA APPIA NUOVA;da specificare;;;;dir. centro prossimità km 15,300;Tamponamento Multiplo;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;2;0;0;2;;;0;3;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
